Instance;Approach;Solver;Makespan (min);Makespan (avg);Makespan (max);Makespan (std);CPU TIME(ms) (min);CPU TIME(ms) (avg);CPU TIME(ms) (max);CPU TIME(ms) (std)
Fattahi1;iterative;ASV2;66;68,30;89;7,27;1;2,30;11;3,13
Fattahi1;parallel;MMASV2;66;66,00;66;0,00;2;3,40;16;4,43
Fattahi1;iterative;greedy;91;91,00;91;0,00;0;0,00;0;0,00
Fattahi1;iterative;EASV2;66;74,30;89;10,75;2;3,20;12;3,12
Fattahi1;parallel;ACSV2;66;66,00;66;0,00;2;3,70;18;5,03
Fattahi1;iterative;RBASV2;66;66,00;66;0,00;1;2,60;15;4,38
Fattahi1;parallel;EASV2;66;70,00;86;8,43;2;3,70;19;5,38
Fattahi1;iterative;ACSV2;66;68,00;86;6,32;1;3,20;12;3,16
Fattahi1;parallel;ASV2;66;66,00;66;0,00;1;3,40;17;4,79
Fattahi1;iterative;MMASV2;66;66,00;66;0,00;1;2,70;12;3,30
Fattahi1;parallel;RBASV2;66;70,00;86;8,43;2;4,00;22;6,32
Fattahi12;parallel;RBASV2;470;522,10;551;26,32;9;13,00;33;7,10
Fattahi12;iterative;MMASV2;468;532,20;610;43,33;17;19,80;32;4,52
Fattahi12;parallel;EASV2;468;510,70;547;24,22;11;13,30;30;5,89
Fattahi12;iterative;ACSV2;495;545,40;580;28,06;9;11,20;22;3,85
Fattahi12;parallel;MMASV2;495;543,10;591;31,29;8;11,10;28;5,99
Fattahi12;parallel;ASV2;505;530,90;558;20,40;10;13,60;32;6,52
Fattahi12;iterative;greedy;736;736,00;736;0,00;0;0,00;0;0,00
Fattahi12;iterative;EASV2;472;520,90;568;34,80;18;20,40;34;4,81
Fattahi12;iterative;ASV2;506;538,80;560;16,40;19;21,50;35;4,88
Fattahi12;iterative;RBASV2;490;522,50;563;23,92;17;20,20;36;5,63
Fattahi12;parallel;ACSV2;507;542,40;582;26,06;5;7,80;24;5,73
Fattahi2;parallel;ASV2;107;111,20;128;8,85;1;3,00;19;5,64
Fattahi2;parallel;MMASV2;107;107,00;107;0,00;1;3,20;17;4,87
Fattahi2;parallel;ACSV2;107;107,00;107;0,00;2;3,60;17;4,72
Fattahi2;iterative;MMASV2;107;107,00;107;0,00;1;2,10;12;3,48
Fattahi2;iterative;greedy;128;128,00;128;0,00;0;0,00;0;0,00
Fattahi2;iterative;EASV2;107;107,00;107;0,00;1;2,10;12;3,48
Fattahi2;iterative;RBASV2;107;107,00;107;0,00;2;4,00;16;4,24
Fattahi2;parallel;EASV2;107;107,00;107;0,00;2;3,70;19;5,38
Fattahi2;iterative;ASV2;107;113,30;128;10,14;1;2,10;12;3,48
Fattahi2;iterative;ACSV2;107;107,00;107;0,00;1;3,00;12;3,20
Fattahi2;parallel;RBASV2;107;107,00;107;0,00;2;3,90;21;6,01
Fattahi3;parallel;RBASV2;221;225,00;261;12,65;2;5,00;21;5,70
Fattahi3;parallel;ASV2;221;225,00;261;12,65;3;4,60;18;4,72
Fattahi3;iterative;ASV2;221;227,40;255;11,53;2;3,10;12;3,14
Fattahi3;parallel;ACSV2;221;225,00;261;12,65;2;3,70;17;4,69
Fattahi3;iterative;ACSV2;221;225,40;265;13,91;3;4,70;13;3,06
Fattahi3;parallel;EASV2;221;224,00;236;6,32;2;5,00;23;6,36
Fattahi3;iterative;RBASV2;221;225,90;255;11,26;2;3,70;17;4,69
Fattahi3;iterative;EASV2;221;233,90;261;18,00;2;3,30;14;3,77
Fattahi3;parallel;MMASV2;221;224,40;255;10,75;2;4,30;17;4,50
Fattahi3;iterative;greedy;298;298,00;298;0,00;0;0,00;0;0,00
Fattahi3;iterative;MMASV2;221;221,00;221;0,00;2;3,40;13;3,41
Fattahi4;parallel;ACSV2;355;373,70;407;22,10;2;3,70;17;4,72
Fattahi4;iterative;ASV2;355;360,30;396;13,10;1;3,20;13;3,49
Fattahi4;parallel;EASV2;355;370,30;407;17,52;2;4,50;20;5,46
Fattahi4;iterative;EASV2;355;365,60;396;16,75;2;3,40;14;3,75
Fattahi4;iterative;MMASV2;355;357,40;367;5,06;2;3,20;13;3,46
Fattahi4;parallel;RBASV2;355;373,70;407;22,10;3;5,40;24;6,55
Fattahi4;parallel;ASV2;355;357,40;367;5,06;2;4,90;21;5,70
Fattahi4;iterative;greedy;542;542,00;542;0,00;0;0,00;0;0,00
Fattahi4;iterative;ACSV2;355;366,80;396;16,34;3;4,40;13;3,10
Fattahi4;parallel;MMASV2;355;356,20;367;3,79;2;4,50;20;5,52
Fattahi4;iterative;RBASV2;355;362,60;407;16,38;2;3,60;17;4,72
Fattahi5;iterative;ASV2;119;119,90;128;2,85;2;3,40;14;3,75
Fattahi5;iterative;EASV2;119;121,70;128;4,35;2;3,80;15;4,02
Fattahi5;iterative;greedy;176;176,00;176;0,00;0;0,00;0;0,00
Fattahi5;parallel;ACSV2;119;122,60;128;4,65;2;4,10;18;4,93
Fattahi5;iterative;RBASV2;119;121,70;128;4,35;2;4,20;18;4,87
Fattahi5;iterative;ACSV2;119;120,80;128;3,79;3;4,50;14;3,37
Fattahi5;parallel;ASV2;119;120,80;128;3,79;2;4,40;18;4,81
Fattahi5;parallel;RBASV2;119;119,90;128;2,85;3;5,90;23;6,06
Fattahi5;iterative;MMASV2;119;122,30;134;5,56;2;3,40;14;3,75
Fattahi5;parallel;MMASV2;119;119,90;128;2,85;3;4,90;18;4,63
Fattahi5;parallel;EASV2;119;120,80;128;3,79;3;5,40;21;5,50
