Instance;Approach;Solver;Makespan (min);Makespan (avg);Makespan (max);Makespan (std);CPU TIME(ms) (min);CPU TIME(ms) (avg);CPU TIME(ms) (max);CPU TIME(ms) (std)
Fattahi1;parallel;ASV2;66;73,30;91;11,77;1;3,20;21;6,27
Fattahi1;iterative;ACSV2;66;66,00;66;0,00;2;3,60;12;3,06
Fattahi1;iterative;MMASV2;66;70,30;89;9,09;0;2,20;11;3,19
Fattahi1;iterative;greedy;91;91,00;91;0,00;0;0,00;0;0,00
Fattahi1;parallel;RBASV2;66;74,30;89;10,75;1;3,70;25;7,50
Fattahi1;parallel;EASV2;66;72,50;91;10,55;1;3,70;23;6,80
Fattahi1;parallel;MMASV2;66;68,00;86;6,32;1;3,10;22;6,64
Fattahi1;parallel;ACSV2;66;66,00;66;0,00;2;4,50;25;7,21
Fattahi1;iterative;ASV2;66;76,60;89;11,23;0;1,40;11;3,41
Fattahi1;iterative;EASV2;66;79,30;91;11,60;1;2,80;14;3,97
Fattahi1;iterative;RBASV2;66;70,00;86;8,43;0;1,50;14;4,40
Fattahi10;iterative;greedy;716;716,00;716;0,00;0;0,00;0;0,00
Fattahi10;parallel;RBASV2;524;581,90;651;37,83;4;6,90;28;7,43
Fattahi10;iterative;ACSV2;533;580,20;676;44,58;5;7,30;17;3,47
Fattahi10;parallel;ASV2;516;563,20;625;42,28;3;6,50;26;6,93
Fattahi10;iterative;ASV2;524;593,10;654;40,81;4;6,30;16;3,62
Fattahi10;iterative;EASV2;555;586,80;676;34,68;3;5,00;17;4,29
Fattahi10;parallel;ACSV2;533;547,90;608;23,62;4;7,00;26;6,72
Fattahi10;parallel;EASV2;516;571,50;683;54,82;3;7,20;28;7,36
Fattahi10;iterative;RBASV2;516;597,30;676;59,87;3;6,30;20;4,95
Fattahi10;iterative;MMASV2;533;593,60;685;43,88;3;5,60;15;3,53
Fattahi10;parallel;MMASV2;533;609,10;676;53,14;4;7,00;27;7,04
Fattahi11;iterative;ASV2;508;564,80;623;39,43;5;7,60;19;4,30
Fattahi11;iterative;greedy;800;800,00;800;0,00;0;0,00;0;0,00
Fattahi11;iterative;EASV2;540;576,10;659;34,62;6;8,10;20;4,31
Fattahi11;parallel;EASV2;554;579,50;619;20,84;5;9,50;32;8,10
Fattahi11;parallel;RBASV2;500;562,00;610;35,26;6;10,30;33;8,07
Fattahi11;parallel;MMASV2;553;600,10;690;38,81;4;8,20;29;7,41
Fattahi11;iterative;ACSV2;520;553,50;585;21,81;11;13,70;22;3,47
Fattahi11;parallel;ACSV2;490;543,90;620;38,85;5;8,90;30;7,50
Fattahi11;parallel;ASV2;525;557,80;593;18,90;5;8,80;31;7,91
Fattahi11;iterative;MMASV2;517;582,70;658;46,36;5;8,40;19;3,95
Fattahi11;iterative;RBASV2;526;564,50;601;29,10;6;8,70;22;4,76
Fattahi12;parallel;EASV2;489;543,00;613;36,81;6;9,50;34;8,71
Fattahi12;parallel;ASV2;532;564,40;602;24,86;6;9,60;31;7,56
Fattahi12;parallel;RBASV2;511;550,20;583;20,93;6;10,90;36;9,00
Fattahi12;iterative;EASV2;517;562,70;612;29,36;6;9,00;21;4,47
Fattahi12;iterative;RBASV2;469;552,30;640;51,88;7;10,20;23;4,59
Fattahi12;iterative;MMASV2;511;586,00;630;34,54;6;8,70;19;3,74
Fattahi12;parallel;MMASV2;532;573,00;629;29,43;4;8,00;29;7,48
Fattahi12;iterative;greedy;736;736,00;736;0,00;0;0,00;0;0,00
Fattahi12;iterative;ACSV2;536;556,50;601;21,74;10;12,10;22;3,60
Fattahi12;iterative;ASV2;523;562,30;596;23,37;6;8,30;18;3,53
Fattahi12;parallel;ACSV2;507;547,60;601;29,20;6;9,40;30;7,29
Fattahi13;iterative;ASV2;581;656,50;706;41,95;10;13,10;26;4,72
Fattahi13;iterative;RBASV2;555;629,60;695;44,84;11;14,20;29;5,33
Fattahi13;iterative;ACSV2;576;650,40;703;41,17;14;15,90;27;3,93
Fattahi13;iterative;EASV2;581;656,70;721;41,44;10;13,10;26;4,77
Fattahi13;parallel;MMASV2;610;683,60;734;46,75;8;10,80;32;7,48
Fattahi13;iterative;MMASV2;598;677,90;746;53,80;9;12,10;24;4,43
Fattahi13;parallel;RBASV2;558;635,40;727;45,67;8;12,20;36;8,40
Fattahi13;parallel;EASV2;576;642,30;738;53,10;7;10,80;34;8,23
Fattahi13;parallel;ASV2;588;650,80;680;25,87;7;11,20;33;7,77
Fattahi13;iterative;greedy;1088;1088,00;1088;0,00;0;0,00;0;0,00
Fattahi13;parallel;ACSV2;584;649,80;696;38,87;8;10,70;31;7,17
Fattahi14;parallel;MMASV2;733;809,60;862;44,02;9;12,50;33;7,25
Fattahi14;parallel;RBASV2;684;778,20;872;61,52;11;14,90;40;8,86
Fattahi14;parallel;EASV2;630;728,00;801;60,04;10;14,10;37;8,10
Fattahi14;iterative;ACSV2;720;780,00;905;51,46;17;20,10;31;4,25
Fattahi14;iterative;RBASV2;725;776,70;837;34,63;18;21,20;36;5,39
Fattahi14;parallel;ACSV2;676;758,40;827;46,38;8;11,90;33;7,48
Fattahi14;parallel;ASV2;729;798,10;849;44,44;10;13,40;35;7,68
Fattahi14;iterative;greedy;1499;1499,00;1499;0,00;0;0,00;0;0,00
Fattahi14;iterative;ASV2;691;772,00;822;38,30;15;17,50;30;4,67
Fattahi14;iterative;EASV2;664;754,10;848;52,13;15;18,20;31;4,64
Fattahi14;iterative;MMASV2;712;813,70;886;57,47;14;17,30;30;4,64
Fattahi15;iterative;MMASV2;742;803,90;889;48,59;14;17,40;30;4,58
Fattahi15;parallel;MMASV2;660;768,00;870;54,08;9;12,30;34;7,65
Fattahi15;iterative;greedy;1241;1241,00;1241;0,00;0;0,00;0;0,00
Fattahi15;parallel;RBASV2;606;730,60;829;69,46;12;15,30;40;8,69
Fattahi15;iterative;RBASV2;672;734,40;820;50,24;17;20,10;36;5,86
Fattahi15;iterative;ASV2;736;781,60;834;26,53;16;17,80;29;4,24
Fattahi15;iterative;ACSV2;695;773,40;835;48,39;17;20,30;32;4,40
Fattahi15;parallel;ACSV2;655;748,90;824;54,73;9;12,10;32;7,06
Fattahi15;iterative;EASV2;712;756,80;802;34,07;16;18,30;31;4,64
Fattahi15;parallel;EASV2;653;720,50;776;36,27;10;13,50;35;7,60
Fattahi15;parallel;ASV2;697;759,90;855;44,43;10;13,90;37;8,21
Fattahi16;iterative;ACSV2;874;1005,30;1179;90,95;21;24,20;35;4,10
Fattahi16;parallel;ACSV2;860;959,80;1029;52,31;9;13,00;37;8,46
Fattahi16;iterative;ASV2;870;954,30;1035;51,42;21;25,40;38;5,19
Fattahi16;iterative;RBASV2;874;943,90;1020;36,53;23;28,40;43;6,10
Fattahi16;parallel;RBASV2;871;974,70;1031;48,46;14;18,80;43;8,69
Fattahi16;parallel;ASV2;834;948,60;1103;70,15;13;17,00;40;8,19
Fattahi16;parallel;EASV2;914;967,80;1112;67,77;13;17,50;42;8,78
Fattahi16;parallel;MMASV2;907;1007,50;1120;62,06;12;15,40;41;9,05
Fattahi16;iterative;greedy;1610;1610,00;1610;0,00;0;0,00;0;0,00
Fattahi16;iterative;MMASV2;824;983,90;1051;72,79;20;23,90;37;5,61
Fattahi16;iterative;EASV2;836;917,80;993;55,15;21;24,40;36;4,84
Fattahi17;parallel;ASV2;1185;1348,70;1448;75,47;17;22,90;44;7,80
Fattahi17;parallel;EASV2;1302;1398,40;1494;61,24;19;23,90;47;8,31
