Instance;Approach;Solver;Makespan (min);Makespan (avg);Makespan (max);Makespan (std);CPU TIME(ms) (min);CPU TIME(ms) (avg);CPU TIME(ms) (max);CPU TIME(ms) (std)
Ribeiro1;parallel;ACSV2;200490;200490,00;200490;0,00;28;32,17;53;4,36
Ribeiro1;parallel;RBASV2;200490;200490,00;200490;0,00;81;125,17;262;66,94
Ribeiro1;parallel;ASV2;200490;200490,00;200490;0,00;111;154,33;497;102,17
Ribeiro1;iterative;MMASV2;200490;200490,00;200490;0,00;153;180,40;448;67,12
Ribeiro1;parallel;MMASV2;200490;200490,00;200490;0,00;79;106,73;222;34,45
Ribeiro1;parallel;EASV2;200490;200490,00;200490;0,00;111;147,47;472;73,60
Ribeiro1;iterative;EASV2;200490;200490,00;200490;0,00;185;216,23;692;94,60
Ribeiro1;iterative;ACSV2;200490;200490,00;200490;0,00;26;53,97;89;26,47
Ribeiro1;iterative;ASV2;200490;200490,00;200490;0,00;190;220,97;725;97,35
Ribeiro1;iterative;greedy;239400;239400,00;239400;0,00;0;0,00;0;0,00
Ribeiro1;iterative;RBASV2;200490;200490,00;200490;0,00;167;196,23;495;78,89
Ribeiro2;parallel;ASV2;2439256;2516082,73;2551221;23637,13;1325735;1449429,67;1625319;82050,59
Ribeiro2;iterative;RBASV2;2346943;2406323,80;2443599;23089,98;2086961;3037898,93;3187989;283499,64
Ribeiro2;iterative;greedy;4429899;4429899,00;4429899;0,00;337;346,37;362;7,28
Ribeiro2;iterative;ASV2;2471092;2517875,43;2550491;18255,42;2267578;2503913,40;2930881;157740,14
Ribeiro2;parallel;RBASV2;2373713;2406225,77;2463334;21071,89;600012;1050161,17;1156036;141899,55
