Makespan,Ellapsed(ms)
2510824,2412404
2524937,2560300
2550491,2480456
2539189,2523797
2518748,2419399
2505551,2365870
2515997,2458166
2519817,2553457
2532903,2657263
2519176,2565848
2550470,2375468
2471092,2278665
2503745,2647667
2536716,2563236
2529582,2855174
2526616,2557580
2545803,2740780
2496389,2644194
2485606,2360204
2514954,2470254
2524196,2461679
2517093,2271522
2526428,2552704
2512609,2374969
2507120,2477128
2486460,2267578
2508559,2368974
2521773,2469440
2516547,2452345
2516872,2930881
