Makespan,Ellapsed(ms)
2368693,3184264
2406505,3184561
2408371,3056465
2407898,2694158
2392942,3145578
2396986,3154571
2440241,2829466
2364357,3151826
2403875,3174887
2410658,3175123
2428769,3148886
2404960,3155677
2413946,2089323
2440201,3174284
2389479,3175576
2430943,2086961
2412986,3187989
2421832,2983599
2407278,3149913
2443599,3168769
2377371,3142296
2391228,2978097
2346943,3150040
2419451,3166860
2375051,3179445
2417072,3161185
2427653,3151150
2405800,2893898
2415804,3100534
2418822,3141587
