Makespan,Ellapsed(ms)
13624064,467576
13797761,385511
13286868,242113
13687004,318556
13611681,298062
13472840,242869
13434130,260724
13614304,373539
13633123,352250
13539847,335577
13811707,297925
13695701,315815
13503462,390348
13665696,243335
13742702,332663
13738285,429271
13493779,279547
13679771,241799
13531689,488612
13546709,242104
13652536,409564
13742953,278483
13718909,242109
13542519,261131
13612710,259626
13783721,300737
13661222,279395
13550360,313204
13562902,281472
13526021,261838
