Instance;Approach;Solver;Makespan (min);Makespan (avg);Makespan (max);Makespan (std);CPU TIME(ms) (min);CPU TIME(ms) (avg);CPU TIME(ms) (max);CPU TIME(ms) (std)
BrandimarteMk1;iterative;ASV3;52;56,53;63;2,45;50;122,27;423;85,24
BrandimarteMk1;iterative;EASV3;52;56,17;62;2,59;51;121,97;425;88,99
BrandimarteMk1;parallel;MMASV3;54;61,80;69;3,26;24;65,87;157;30,14
BrandimarteMk1;iterative;RBASV3;50;56,07;61;2,57;48;130,57;597;107,10
BrandimarteMk1;parallel;EASV3;51;56,17;64;2,94;23;75,73;205;44,32
BrandimarteMk1;iterative;MMASV3;54;61,83;67;3,17;41;104,10;405;88,17
BrandimarteMk1;iterative;ACSV3;54;59,60;63;2,27;42;100,60;263;64,73
BrandimarteMk1;parallel;RBASV3;51;56,17;60;2,12;19;86,13;250;65,71
BrandimarteMk1;parallel;ASV3;53;57,53;64;2,42;26;75,77;145;31,93
BrandimarteMk1;parallel;ACSV3;55;61,23;67;3,07;36;64,33;160;24,77
BrandimarteMk11;iterative;MMASV3;772;844,07;894;26,45;840;1536,13;3354;592,64
BrandimarteMk11;iterative;RBASV3;784;811,30;840;16,51;1181;1781,23;2909;548,02
BrandimarteMk11;iterative;EASV3;769;809,37;851;22,46;1035;1799,53;2934;479,38
BrandimarteMk11;iterative;ASV3;779;825,70;855;18,53;1021;1529,87;2187;307,61
BrandimarteMk11;parallel;ASV3;796;833,83;865;20,04;338;558,73;1426;201,24
BrandimarteMk11;parallel;ACSV3;841;940,23;995;30,29;77;121,67;292;65,40
BrandimarteMk11;iterative;ACSV3;827;922,43;989;32,37;300;348,73;867;100,65
BrandimarteMk11;parallel;RBASV3;767;806,90;832;16,30;342;642,37;1735;282,18
BrandimarteMk11;parallel;EASV3;771;817,67;877;25,29;331;633,43;1181;254,13
BrandimarteMk11;parallel;MMASV3;807;841,00;892;18,99;259;548,10;1512;299,33
BrandimarteMk12;iterative;EASV3;677;714,40;769;27,55;1090;1950,43;3615;644,29
BrandimarteMk12;parallel;EASV3;641;707,77;740;22,65;371;665,83;1401;214,93
BrandimarteMk12;parallel;RBASV3;652;697,73;754;22,08;357;723,90;2073;372,21
BrandimarteMk12;parallel;MMASV3;687;745,50;776;20,87;269;562,70;1939;348,57
BrandimarteMk12;iterative;ASV3;697;736,53;758;14,16;994;1542,37;2149;379,79
BrandimarteMk12;iterative;ACSV3;719;808,63;870;34,75;300;357,63;924;112,63
BrandimarteMk12;parallel;ACSV3;792;836,10;898;28,54;79;124,07;399;73,17
BrandimarteMk12;iterative;RBASV3;665;702,33;735;17,50;1023;1979,77;3713;793,88
BrandimarteMk12;iterative;MMASV3;695;747,43;788;20,25;875;1757,23;3033;645,12
BrandimarteMk12;parallel;ASV3;687;726,93;767;17,99;324;577,77;1209;210,48
BrandimarteMk14;iterative;EASV3;901;978,67;1090;39,78;1623;3656,07;5584;1189,02
BrandimarteMk14;parallel;RBASV3;897;949,77;1021;28,04;569;1349,93;2096;453,93
BrandimarteMk14;parallel;EASV3;917;980,33;1044;30,99;792;1249,20;2610;402,26
BrandimarteMk14;iterative;ACSV3;1045;1128,97;1206;41,58;520;597,87;1172;119,26
BrandimarteMk14;parallel;ACSV3;1070;1168,47;1251;39,21;130;174,83;423;83,05
BrandimarteMk14;parallel;ASV3;992;1049,37;1095;24,32;547;1076,10;2582;449,58
BrandimarteMk14;iterative;RBASV3;851;944,50;1007;30,97;1683;3844,03;6110;1056,49
BrandimarteMk14;parallel;MMASV3;967;1035,47;1076;26,92;471;958,33;2017;441,72
BrandimarteMk14;iterative;MMASV3;966;1022,73;1081;31,27;1535;3296,10;6195;1311,73
BrandimarteMk14;iterative;ASV3;994;1047,27;1115;30,60;1590;2807,37;4280;759,98
BrandimarteMk15;parallel;RBASV3;645;692,83;733;22,02;832;1487,40;2387;493,26
BrandimarteMk15;iterative;EASV3;681;704,03;731;13,59;2414;4184,97;8696;1440,11
BrandimarteMk15;parallel;ASV3;697;731,90;773;22,09;787;1089,03;1500;182,04
BrandimarteMk15;iterative;MMASV3;699;758,20;822;30,64;2014;4661,67;7699;1538,68
BrandimarteMk15;iterative;ASV3;661;726,73;763;22,32;2418;3208,60;5025;602,54
BrandimarteMk15;parallel;EASV3;646;701,77;739;19,55;884;1483,77;2795;560,21
BrandimarteMk15;iterative;ACSV3;755;848,37;935;40,64;692;778,37;1343;117,33
BrandimarteMk15;parallel;MMASV3;702;755,13;815;28,72;617;1563,83;2613;660,07
BrandimarteMk15;iterative;RBASV3;652;689,90;724;17,47;2818;4632,20;7451;1526,30
BrandimarteMk15;parallel;ACSV3;817;892,97;971;31,60;188;229,83;524;84,01
