Instance;Approach;Solver;Makespan (min);Makespan (avg);Makespan (max);Makespan (std);CPU TIME(ms) (min);CPU TIME(ms) (avg);CPU TIME(ms) (max);CPU TIME(ms) (std)
DPpaulli10a;iterative;EASV2;4072;4251,13;4400;95,93;417;836,47;1640;291,57
DPpaulli10a;iterative;MMASV2;4211;4368,93;4580;97,95;339;617,07;1508;315,41
DPpaulli10a;iterative;ASV2;4013;4301,33;4485;108,61;432;752,23;1196;250,14
DPpaulli10a;parallel;RBASV2;4029;4273,27;4438;98,82;205;568,77;1263;357,28
DPpaulli10a;iterative;RBASV2;4042;4322,60;4467;80,67;398;893,27;1556;310,00
DPpaulli10a;parallel;EASV2;4104;4274,33;4443;86,38;261;448,30;802;141,18
DPpaulli10a;parallel;ASV2;3970;4300,03;4551;127,05;241;477,20;999;210,92
DPpaulli10a;iterative;ACSV2;4363;4726,57;5006;162,63;207;237,70;619;77,95
DPpaulli10a;parallel;ACSV2;4505;4755,33;5040;151,50;69;103,87;192;38,21
DPpaulli10a;parallel;MMASV2;4100;4336,47;4488;94,59;169;427,63;970;221,45
DPpaulli11a;iterative;EASV2;3908;4109,20;4271;88,85;716;1153,10;1907;330,05
DPpaulli11a;parallel;EASV2;3909;4120,03;4345;99,28;320;584,50;1256;238,49
DPpaulli11a;iterative;ASV2;3938;4121,27;4293;88,52;621;1184,20;2317;415,84
DPpaulli11a;parallel;ACSV2;4184;4738,20;5124;211,26;93;134,47;257;56,70
DPpaulli11a;parallel;MMASV2;4194;4407,40;4601;114,59;200;412,77;987;204,42
DPpaulli11a;iterative;RBASV2;3941;4133,70;4345;96,79;637;1172,07;2126;429,56
DPpaulli11a;iterative;MMASV2;4051;4401,23;4586;132,27;433;831,40;1768;383,58
DPpaulli11a;iterative;ACSV2;4364;4639,80;4886;129,49;311;354,97;814;88,88
DPpaulli11a;parallel;ASV2;4025;4172,37;4317;65,07;346;580,67;1147;210,78
DPpaulli11a;parallel;RBASV2;3849;4150,00;4303;99,88;289;625,13;1655;360,33
DPpaulli12a;parallel;ASV2;3885;4094,87;4314;105,47;386;770,53;1917;321,85
DPpaulli12a;parallel;RBASV2;3863;4124,10;4310;114,90;321;621,23;1156;256,25
DPpaulli12a;iterative;RBASV2;3952;4087,23;4269;79,69;823;1519,30;3621;651,89
DPpaulli12a;iterative;ACSV2;4343;4578,00;4821;127,53;437;493,83;960;91,72
DPpaulli12a;iterative;EASV2;3829;4087,27;4249;110,53;835;1462,13;2297;389,50
DPpaulli12a;iterative;MMASV2;4017;4296,70;4532;123,94;645;1069,47;2081;400,98
DPpaulli12a;parallel;ACSV2;4335;4658,53;4879;144,40;127;170,63;344;66,71
DPpaulli12a;parallel;EASV2;3851;4092,70;4232;94,98;421;683,90;1465;209,99
