Instance;Approach;Solver;Makespan (min);Makespan (avg);Makespan (max);Makespan (std);CPU TIME(ms) (min);CPU TIME(ms) (avg);CPU TIME(ms) (max);CPU TIME(ms) (std)
HurinkVdata10;iterative;ACSV3;940;1144,90;1235;56,30;82;152,67;516;88,66
HurinkVdata10;parallel;ACSV3;1077;1180,70;1248;46,00;37;78,80;121;24,20
HurinkVdata10;parallel;RBASV3;984;1056,17;1111;32,51;54;136,07;547;113,64
HurinkVdata10;parallel;MMASV3;957;1084,13;1162;50,10;48;124,47;288;68,15
HurinkVdata10;iterative;greedy;1453;1453,00;1453;0,00;0;0,00;0;0,00
HurinkVdata11;parallel;MMASV3;1028;1153,83;1246;55,21;44;139,57;429;104,32
HurinkVdata11;iterative;ACSV3;1172;1243,90;1367;46,99;85;139,03;282;63,94
HurinkVdata11;iterative;greedy;2076;2076,00;2076;0,00;0;0,00;0;0,00
HurinkVdata11;parallel;RBASV3;1041;1125,47;1206;43,33;49;146,67;397;89,92
HurinkVdata11;parallel;ACSV3;1157;1266,20;1360;55,39;57;77,20;133;16,50
HurinkVdata12;parallel;RBASV3;1119;1197,43;1268;41,39;54;145,40;369;86,56
HurinkVdata12;parallel;MMASV3;1133;1230,80;1305;40,67;45;136,33;587;112,15
HurinkVdata12;parallel;ACSV3;1254;1356,03;1451;57,45;37;75,30;137;24,82
HurinkVdata12;iterative;greedy;1957;1957,00;1957;0,00;0;0,03;1;0,18
HurinkVdata12;iterative;ACSV3;1206;1327,90;1432;55,11;84;138,90;564;93,04
HurinkVdata13;iterative;ACSV3;1168;1295,63;1370;50,65;84;135,43;330;84,28
HurinkVdata13;parallel;RBASV3;1080;1204,40;1311;48,23;61;146,70;527;123,13
HurinkVdata13;iterative;greedy;2029;2029,00;2029;0,00;0;0,00;0;0,00
HurinkVdata13;parallel;MMASV3;1114;1213,53;1280;43,24;45;136,10;607;112,08
HurinkVdata13;parallel;ACSV3;1242;1346,87;1411;41,60;45;69,60;135;20,23
HurinkVdata14;iterative;greedy;2384;2384,00;2384;0,00;0;0,47;1;0,51
HurinkVdata14;parallel;MMASV3;1391;1532,97;1609;50,84;106;216,20;550;104,69
HurinkVdata14;iterative;ACSV3;1587;1696,47;1803;70,66;140;199,60;529;85,68
HurinkVdata14;parallel;RBASV3;1381;1512,37;1605;53,36;94;219,83;880;151,73
HurinkVdata14;parallel;ACSV3;1526;1683,07;1861;71,13;46;99,70;328;60,62
HurinkVdata15;iterative;greedy;2078;2078,00;2078;0,00;0;0,47;1;0,51
HurinkVdata15;parallel;MMASV3;1287;1343,83;1394;34,75;88;198,80;671;123,31
HurinkVdata15;parallel;ACSV3;1340;1457,50;1535;56,97;45;97,80;200;36,17
HurinkVdata15;iterative;ACSV3;1357;1472,57;1577;63,46;140;203,90;500;87,15
HurinkVdata15;parallel;RBASV3;1262;1328,57;1401;36,16;93;219,87;587;117,52
HurinkVdata16;parallel;RBASV3;1404;1475,23;1561;40,58;98;208,37;683;115,56
HurinkVdata16;iterative;ACSV3;1563;1652,03;1766;50,94;137;182,07;526;84,00
HurinkVdata16;iterative;greedy;2023;2023,00;2023;0,00;0;0,43;1;0,50
HurinkVdata16;parallel;ACSV3;1516;1674,77;1799;65,09;45;89,00;169;38,54
HurinkVdata16;parallel;MMASV3;1435;1513,73;1624;48,89;91;216,13;955;185,45
HurinkVdata17;parallel;ACSV3;1561;1722,37;1835;68,51;45;94,97;242;46,42
HurinkVdata17;parallel;RBASV3;1431;1528,53;1618;43,21;94;215,97;729;144,61
HurinkVdata17;parallel;MMASV3;1448;1549,37;1666;45,93;86;202,63;671;140,71
HurinkVdata17;iterative;greedy;2125;2125,00;2125;0,00;0;0,63;1;0,49
HurinkVdata17;iterative;ACSV3;1478;1690,53;1808;65,40;143;186,27;559;84,68
HurinkVdata18;iterative;greedy;2467;2467,00;2467;0,00;0;0,60;1;0,50
HurinkVdata18;parallel;ACSV3;1519;1695,67;1790;76,69;48;83,27;137;27,61
HurinkVdata18;iterative;ACSV3;1482;1685,20;1849;83,18;147;191,90;511;85,16
HurinkVdata18;parallel;RBASV3;1433;1515,63;1616;42,31;105;236,50;528;88,29
HurinkVdata18;parallel;MMASV3;1475;1574,83;1666;49,56;87;221,93;965;165,73
HurinkVdata19;parallel;ACSV3;1312;1521,53;1676;88,26;43;106,37;272;62,39
HurinkVdata19;parallel;RBASV3;1205;1322,23;1400;47,54;59;138,63;442;94,24
HurinkVdata19;parallel;MMASV3;1263;1367,40;1504;62,63;49;129,97;443;88,68
HurinkVdata19;iterative;ACSV3;1312;1439,70;1534;56,57;134;185,67;528;82,64
HurinkVdata19;iterative;greedy;1934;1934,00;1934;0,00;0;0,03;1;0,18
HurinkVdata20;parallel;MMASV3;1127;1190,30;1264;38,51;46;136,27;368;93,03
HurinkVdata20;parallel;RBASV3;1095;1174,30;1256;44,45;61;139,40;453;103,87
HurinkVdata20;iterative;ACSV3;1146;1275,40;1359;59,88;143;197,97;714;112,88
HurinkVdata20;iterative;greedy;2292;2292,00;2292;0,00;0;0,03;1;0,18
HurinkVdata20;parallel;ACSV3;1160;1317,73;1454;67,77;44;92,60;179;37,21
HurinkVdata21;iterative;ACSV3;1163;1340,77;1479;74,55;142;197,70;469;78,05
HurinkVdata21;parallel;RBASV3;1137;1259,03;1382;61,45;51;134,73;358;79,28
HurinkVdata21;iterative;greedy;1933;1933,00;1933;0,00;0;0,03;1;0,18
HurinkVdata21;parallel;ACSV3;1242;1392,27;1580;75,77;44;91,37;289;48,94
HurinkVdata21;parallel;MMASV3;1180;1265,67;1346;47,38;49;131,43;894;156,41
HurinkVdata22;parallel;MMASV3;1136;1324,10;1415;60,12;55;139,67;497;104,26
HurinkVdata22;iterative;greedy;2088;2088,00;2088;0,00;0;0,03;1;0,18
HurinkVdata22;parallel;RBASV3;1233;1314,93;1378;41,99;51;147,47;636;152,73
HurinkVdata22;parallel;ACSV3;1269;1464,20;1661;94,54;45;88,63;154;35,86
HurinkVdata22;iterative;ACSV3;1246;1445,37;1606;86,93;143;193,10;507;82,11
HurinkVdata23;iterative;ACSV3;1353;1504,33;1652;73,16;142;190,40;543;89,29
HurinkVdata23;parallel;MMASV3;1259;1360,07;1508;65,61;48;134,87;622;121,87
HurinkVdata23;parallel;RBASV3;1189;1363,57;1428;52,36;53;141,47;521;122,68
HurinkVdata23;parallel;ACSV3;1297;1512,87;1629;70,15;44;93,63;152;32,28
HurinkVdata23;iterative;greedy;2455;2455,00;2455;0,00;0;0,23;1;0,43
HurinkVdata24;parallel;MMASV3;1524;1701,77;1800;62,91;145;328,30;1109;187,52
HurinkVdata24;parallel;RBASV3;1567;1691,70;1788;54,97;157;370,20;958;185,91
HurinkVdata24;iterative;greedy;2830;2830,00;2830;0,00;1;1,13;2;0,35
HurinkVdata24;iterative;ACSV3;1686;1900,70;2052;82,34;299;353,27;835;106,67
HurinkVdata24;parallel;ACSV3;1693;1926,47;2126;85,15;84;123,40;301;54,39
HurinkVdata25;parallel;ACSV3;1586;1839,67;2046;93,01;78;121,70;261;58,58
HurinkVdata25;iterative;ACSV3;1630;1798,63;1957;81,17;284;340,23;838;111,63
HurinkVdata25;iterative;greedy;2531;2531,00;2531;0,00;1;1,10;2;0,31
HurinkVdata25;parallel;RBASV3;1393;1607,93;1709;73,35;168;327,27;768;135,68
HurinkVdata25;parallel;MMASV3;1550;1658,73;1756;59,78;135;287,63;1079;179,09
HurinkVdata26;parallel;MMASV3;1651;1788,20;1856;52,25;140;282,70;829;145,23
HurinkVdata26;parallel;RBASV3;1508;1712,23;1855;75,92;159;317,10;1453;245,20
HurinkVdata26;iterative;ACSV3;1760;1955,57;2162;88,24;281;337,50;930;118,72
HurinkVdata26;iterative;greedy;3244;3244,00;3244;0,00;1;1,07;2;0,25
HurinkVdata26;parallel;ACSV3;1838;1984,83;2145;83,94;77;123,23;230;52,47
HurinkVdata27;parallel;MMASV3;1573;1747,47;1878;63,21;145;284,80;1201;206,98
HurinkVdata27;parallel;RBASV3;1575;1716,73;1823;61,25;151;349,80;1105;204,58
HurinkVdata27;iterative;ACSV3;1703;1923,67;2128;90,52;292;341,83;812;100,52
HurinkVdata27;parallel;ACSV3;1770;1969,97;2123;80,36;79;126,90;276;59,35
