Instance;Approach;Solver;Makespan (min);Makespan (avg);Makespan (max);Makespan (std);CPU TIME(ms) (min);CPU TIME(ms) (avg);CPU TIME(ms) (max);CPU TIME(ms) (std)
Fattahi1;iterative;RBASV1;86;86,67;91;1,73;2;5,43;26;4,29
Fattahi1;parallel;MMASV1;86;86,27;91;1,05;1;4,17;34;5,81
Fattahi1;parallel;RBASV1;86;86,00;86;0,00;3;6,67;40;6,60
Fattahi1;iterative;EASV1;86;86,00;86;0,00;2;4,40;25;4,02
Fattahi1;iterative;ASV1;86;86,10;89;0,55;2;3,77;25;4,16
Fattahi1;iterative;greedy;135;135,00;135;0,00;0;0,00;0;0,00
Fattahi1;iterative;ACSV1;86;86,00;86;0,00;4;5,87;23;3,39
Fattahi1;iterative;MMASV1;86;86,27;91;1,05;1;2,60;20;3,50
Fattahi1;parallel;ACSV1;86;86,00;86;0,00;3;5,40;35;5,65
Fattahi1;parallel;EASV1;86;86,00;86;0,00;3;8,47;40;6,42
Fattahi1;parallel;ASV1;86;86,00;86;0,00;3;7,33;35;5,62
Fattahi10;iterative;greedy;608;608,00;608;0,00;0;0,00;0;0,00
Fattahi10;parallel;ASV1;692;698,97;779;22,67;19;47,07;87;15,71
Fattahi10;parallel;MMASV1;692;694,57;749;10,74;7;13,03;41;6,48
Fattahi10;parallel;ACSV1;692;692,00;692;0,00;7;11,47;44;6,47
Fattahi10;iterative;RBASV1;692;697,37;818;23,19;18;38,43;82;14,59
Fattahi10;iterative;EASV1;692;697,27;779;20,03;14;40,37;72;16,04
Fattahi10;parallel;RBASV1;692;692,00;692;0,00;19;42,07;86;13,92
Fattahi10;parallel;EASV1;692;695,60;762;13,44;30;47,90;72;11,20
Fattahi10;iterative;ACSV1;692;692,00;692;0,00;12;22,17;39;5,95
Fattahi10;iterative;ASV1;692;699,00;779;20,77;17;40,37;83;15,66
Fattahi10;iterative;MMASV1;692;694,47;762;12,76;7;15,90;39;7,77
Fattahi11;parallel;EASV1;507;665,57;748;49,37;27;81,83;242;64,24
Fattahi11;iterative;greedy;783;783,00;783;0,00;0;0,00;0;0,00
Fattahi11;parallel;MMASV1;547;677,20;762;46,00;13;27,73;57;11,73
Fattahi11;iterative;RBASV1;572;681,10;793;51,52;22;68,77;222;53,70
Fattahi11;iterative;MMASV1;596;676,60;761;39,78;12;38,17;99;17,82
Fattahi11;parallel;RBASV1;542;683,80;766;46,87;22;79,90;201;50,61
Fattahi11;iterative;ACSV1;533;648,53;740;53,59;18;45,53;117;25,68
Fattahi11;parallel;ASV1;631;704,83;803;40,17;23;77,77;219;55,13
Fattahi11;parallel;ACSV1;572;641,17;761;48,94;16;31,03;65;13,91
Fattahi11;iterative;EASV1;608;679,77;792;45,46;31;86,03;250;61,55
Fattahi11;iterative;ASV1;642;716,63;795;42,41;23;63,67;261;55,17
Fattahi12;iterative;ACSV1;548;645,63;754;46,19;22;50,33;144;27,64
Fattahi12;parallel;ACSV1;540;641,37;697;37,29;15;30,37;54;10,59
Fattahi12;parallel;ASV1;610;718,93;831;48,19;27;87,10;294;63,23
Fattahi12;iterative;MMASV1;627;675,13;743;35,03;15;38,43;88;20,95
Fattahi12;parallel;MMASV1;580;671,23;734;36,57;14;30,47;68;12,08
Fattahi12;parallel;RBASV1;596;684,77;789;50,99;24;89,23;267;58,52
Fattahi12;iterative;greedy;630;630,00;630;0,00;0;0,00;0;0,00
Fattahi12;iterative;RBASV1;570;672,73;803;50,86;32;79,80;224;41,19
Fattahi12;parallel;EASV1;625;700,93;866;53,98;33;91,53;320;81,57
Fattahi12;iterative;EASV1;626;706,70;779;41,66;31;84,93;484;83,55
Fattahi12;iterative;ASV1;636;711,67;776;39,40;30;74,30;253;50,11
Fattahi13;parallel;RBASV1;672;798,37;912;58,09;47;108,30;342;67,63
Fattahi13;parallel;MMASV1;702;781,03;825;33,73;16;41,80;79;17,25
Fattahi13;iterative;RBASV1;665;813,67;887;47,89;48;96,20;246;61,72
Fattahi13;parallel;ACSV1;676;778,40;867;50,94;17;39,90;73;16,74
Fattahi13;iterative;EASV1;680;790,00;885;51,39;67;133,17;505;103,16
Fattahi13;iterative;MMASV1;699;790,77;859;36,38;17;51,73;172;40,24
Fattahi13;iterative;ACSV1;704;775,03;879;42,72;20;60,30;188;39,50
Fattahi13;parallel;EASV1;619;807,13;927;64,21;57;130,23;427;83,83
Fattahi13;iterative;ASV1;765;832,57;907;37,67;67;120,30;522;86,98
Fattahi13;iterative;greedy;891;891,00;891;0,00;0;0,00;0;0,00
Fattahi13;parallel;ASV1;738;848,00;930;45,25;51;114,47;552;100,11
Fattahi14;iterative;ACSV1;785;938,00;1074;69,29;29;82,63;288;69,09
Fattahi14;parallel;EASV1;873;972,47;1070;53,92;97;177,57;456;98,78
Fattahi14;iterative;ASV1;853;973,10;1063;52,03;92;163,40;492;93,06
Fattahi14;iterative;EASV1;840;970,13;1099;63,11;100;195,30;822;131,55
Fattahi14;iterative;RBASV1;862;941,20;1055;47,25;90;179,93;427;72,34
Fattahi14;parallel;ASV1;909;988,00;1056;41,51;86;164,03;883;146,33
Fattahi14;parallel;ACSV1;752;935,60;1127;74,19;18;52,07;141;28,96
Fattahi14;iterative;MMASV1;820;945,57;1037;54,11;23;65,93;201;44,00
Fattahi14;parallel;MMASV1;857;931,23;1027;42,70;35;60,43;118;20,63
Fattahi14;iterative;greedy;889;889,00;889;0,00;0;0,00;0;0,00
Fattahi14;parallel;RBASV1;864;950,30;1048;42,78;64;147,57;299;67,74
Fattahi15;iterative;ACSV1;776;883,90;1058;59,67;32;86,10;279;57,26
Fattahi15;parallel;EASV1;805;922,53;1063;61,43;91;179,63;670;123,66
Fattahi15;iterative;greedy;875;875,00;875;0,00;0;0,00;0;0,00
Fattahi15;parallel;ASV1;838;962,23;1084;59,91;82;141,57;477;80,56
Fattahi15;iterative;EASV1;771;918,50;1025;55,33;108;191,10;651;111,51
Fattahi15;parallel;MMASV1;834;905,37;1027;46,38;23;56,53;121;26,13
Fattahi15;iterative;ASV1;849;958,10;1046;56,85;110;184,90;398;74,79
Fattahi15;parallel;RBASV1;805;898,00;974;41,05;68;162,60;575;106,79
Fattahi15;parallel;ACSV1;806;912,83;994;46,62;23;51,30;99;21,81
Fattahi15;iterative;MMASV1;795;900,13;1027;44,21;21;61,53;194;46,73
Fattahi15;iterative;RBASV1;815;921,10;1058;54,42;73;148,93;420;78,92
Fattahi16;iterative;ASV1;920;1154,80;1242;71,27;143;239,37;688;112,32
Fattahi16;iterative;MMASV1;955;1077,20;1218;66,82;32;86,23;292;60,14
Fattahi16;parallel;MMASV1;971;1088,93;1169;47,01;26;57,17;112;25,18
