instance,algorithm,makespan_mean,makespan_std,makespan_min,makespan_max,time_mean,time_std
MK1,ACSi,58.47,3.15,52,65,81.0,50.44
MK1,ACSp,60.87,3.28,56,70,42.7,14.23
MK1,ECT,73.0,0.0,73,73,0.07,0.25
MK2,ACSp,54.57,2.99,49,61,53.13,11.67
MK2,ECT,69.0,0.0,69,69,0.03,0.18
MK2,ACSi,52.63,3.27,47,60,90.83,56.54
MK3,ACSi,308.8,12.59,289,338,207.17,83.85
MK3,ACSp,321.87,13.41,295,346,105.7,45.05
MK3,ECT,501.0,0.0,501,501,0.53,0.57
MK4,ACSi,113.93,5.83,101,126,123.07,88.92
MK4,ACSp,117.77,6.04,104,133,66.17,21.48
MK4,ECT,109.0,0.0,109,109,0.03,0.18
MK5,ACSi,265.2,8.34,253,279,107.47,55.83
MK5,ACSp,270.27,9.25,250,286,62.73,9.5
MK5,ECT,329.0,0.0,329,329,0.03,0.18
MK6,ACSi,144.37,6.59,131,157,201.37,83.51
MK6,ECT,158.0,0.0,158,158,0.6,0.56
MK6,ACSp,149.03,6.67,135,164,87.63,40.62
MK7,ACSp,245.47,8.05,230,269,96.97,52.15
MK7,ACSi,237.63,11.86,197,255,196.97,94.11
MK7,ECT,312.0,0.0,312,312,0.63,0.56
MK8,ACSi,723.27,20.82,681,758,236.0,71.98
MK8,ECT,862.0,0.0,862,862,1.1,0.31
MK8,ACSp,733.4,22.18,690,771,108.33,39.82
MK9,ACSp,660.3,24.15,620,708,125.2,48.19
MK9,ACSi,632.5,26.47,580,672,289.8,69.34
MK9,ECT,689.0,0.0,689,689,1.27,0.45
MK10,ACSp,558.47,17.35,524,596,142.37,61.39
MK10,ECT,601.0,0.0,601,601,1.33,0.55
MK10,ACSi,543.9,25.51,501,588,387.83,80.88
MK11,ACSp,938.9,33.46,869,999,105.0,45.39
MK11,ACSi,935.4,35.38,876,999,252.8,85.88
MK11,ECT,947.0,0.0,947,947,1.3,0.47
MK12,ACSi,819.03,46.17,716,894,252.77,77.95
MK12,ACSp,830.63,33.41,779,899,112.13,55.08
MK12,ECT,915.0,0.0,915,915,1.33,0.48
MK13,ACSi,902.63,37.38,836,983,535.67,88.49
MK13,ACSp,923.63,33.76,864,973,187.17,71.63
MK13,ECT,811.0,0.0,811,811,2.6,0.56
MK14,ACSi,1149.73,38.48,1094,1224,420.83,104.1
MK14,ACSp,1160.83,38.23,1079,1224,156.57,63.68
MK14,ECT,1259.0,0.0,1259,1259,2.3,0.53
MK15,ECT,897.0,0.0,897,897,2.97,0.41
MK15,ACSi,835.67,34.28,786,906,583.73,85.67
MK15,ACSp,878.97,34.31,807,945,208.5,67.15
