instance,algorithm,mean,ci_lower,ci_upper,ci_width
SFJS1,ACSi,66.0,66.0,66.0,0.0
SFJS1,ACSp,66.0,66.0,66.0,0.0
SFJS1,ECT,91.0,91.0,91.0,0.0
SFJS2,ACSi,107.0,107.0,107.0,0.0
SFJS2,ACSp,107.0,107.0,107.0,0.0
SFJS2,ECT,128.0,128.0,128.0,0.0
SFJS3,ACSi,221.0,221.0,221.0,0.0
SFJS3,ACSp,221.0,221.0,221.0,0.0
SFJS3,ECT,316.0,316.0,316.0,0.0
SFJS4,ACSi,360.53333333333336,357.0,364.6333333333333,7.633333333333326
SFJS4,ACSp,358.76666666666665,356.2,362.06666666666666,5.866666666666674
SFJS4,ECT,421.0,421.0,421.0,0.0
SFJS5,ACSi,119.0,119.0,119.0,0.0
SFJS5,ACSp,119.3,119.0,119.9,0.9000000000000057
SFJS5,ECT,147.0,147.0,147.0,0.0
SFJS6,ACSi,320.3333333333333,320.0,321.0,1.0
SFJS6,ACSp,320.6666666666667,320.0,321.6666666666667,1.6666666666666856
SFJS6,ECT,490.0,490.0,490.0,0.0
SFJS7,ACSi,398.4,397.3333333333333,399.6,2.2666666666667084
SFJS7,ACSp,397.53333333333336,397.0,398.3333333333333,1.3333333333333144
SFJS7,ECT,432.0,432.0,432.0,0.0
SFJS8,ACSi,255.5,254.26666666666668,257.0,2.73333333333332
SFJS8,ACSp,256.46666666666664,254.83333333333334,258.43333333333334,3.5999999999999943
SFJS8,ECT,327.0,327.0,327.0,0.0
SFJS9,ACSi,223.63333333333333,220.83333333333334,226.66666666666666,5.833333333333314
SFJS9,ACSp,221.4,219.06583333333333,223.86666666666667,4.800833333333344
SFJS9,ECT,267.0,267.0,267.0,0.0
SFJS10,ACSi,538.4,534.5,543.3,8.799999999999955
SFJS10,ACSp,544.5666666666667,537.265,552.7333333333333,15.468333333333362
SFJS10,ECT,608.0,608.0,608.0,0.0
MFJS1,ACSi,538.7666666666667,530.2333333333333,546.7,16.466666666666697
MFJS1,ACSp,539.9,530.0666666666667,549.5666666666667,19.5
MFJS1,ECT,785.0,785.0,785.0,0.0
MFJS2,ACSi,527.4,520.0991666666667,534.8,14.700833333333208
MFJS2,ACSp,530.6666666666666,522.2666666666667,538.4,16.133333333333326
MFJS2,ECT,585.0,585.0,585.0,0.0
MFJS3,ACSi,606.2333333333333,595.5333333333333,616.7008333333333,21.167500000000018
MFJS3,ACSp,614.9333333333333,604.2658333333334,625.4675,21.201666666666597
MFJS3,ECT,839.0,839.0,839.0,0.0
MFJS4,ACSi,734.9666666666667,721.6658333333334,748.7341666666666,27.06833333333327
MFJS4,ACSp,726.1,711.5,740.3016666666666,28.80166666666662
MFJS4,ECT,940.0,940.0,940.0,0.0
MFJS5,ACSi,695.9666666666667,682.8,710.0,27.200000000000045
MFJS5,ACSp,699.7666666666667,682.7991666666667,716.6016666666667,33.80250000000001
MFJS5,ECT,875.0,875.0,875.0,0.0
MFJS6,ACSi,932.9666666666667,911.265,954.3675,43.102499999999964
MFJS6,ACSp,943.1666666666666,924.065,961.8341666666666,37.76916666666659
MFJS6,ECT,1133.0,1133.0,1133.0,0.0
MFJS7,ACSi,1357.9,1329.8333333333333,1384.6333333333334,54.80000000000018
MFJS7,ACSp,1357.8666666666666,1333.6333333333334,1382.6683333333333,49.034999999999854
MFJS7,ECT,1715.0,1715.0,1715.0,0.0
MFJS8,ACSi,1399.3,1373.1633333333334,1425.1341666666667,51.9708333333333
MFJS8,ACSp,1383.0666666666666,1351.6308333333334,1415.6358333333335,64.00500000000011
MFJS8,ECT,1441.0,1441.0,1441.0,0.0
MFJS9,ACSi,1769.7333333333333,1740.9650000000001,1798.9416666666666,57.97666666666646
MFJS9,ACSp,1737.4333333333334,1703.3991666666668,1772.1016666666665,68.70249999999965
MFJS9,ECT,1944.0,1944.0,1944.0,0.0
MFJS10,ACSi,1980.0666666666666,1937.2,2023.6666666666667,86.4666666666667
MFJS10,ACSp,1988.6666666666667,1954.4933333333333,2022.2025,67.70916666666676
MFJS10,ECT,1944.0,1944.0,1944.0,0.0
