instance,algorithm,makespan_mean,makespan_std,makespan_min,makespan_max,time_mean,time_std,gap_percent
SFJS1,ACSi,66.0,0.0,66,66,2.7333333333333334,1.9988502442280598,0.0
SFJS1,ACSp,66.0,0.0,66,66,3.7,2.9261013252307655,0.0
SFJS1,ECT,91.0,0.0,91,91,0.0,0.0,37.878787878787875
SFJS2,ACSi,107.0,0.0,107,107,3.1,1.826056614297785,0.0
SFJS2,ACSp,107.0,0.0,107,107,3.2666666666666666,2.887945616707052,0.0
SFJS2,ECT,128.0,0.0,128,128,0.0,0.0,19.626168224299064
SFJS3,ACSi,221.0,0.0,221,221,5.2,2.0577858874578494,0.0
SFJS3,ACSp,221.0,0.0,221,221,4.466666666666667,2.8735816091365516,0.0
SFJS3,ECT,316.0,0.0,316,316,0.0,0.0,42.98642533936652
SFJS4,ACSi,360.53333333333336,10.909449663205883,355,396,4.733333333333333,1.9988502442280596,1.5586854460093973
SFJS4,ACSp,358.76666666666665,8.54877822822667,355,396,4.8,2.9172495312513473,1.061032863849761
SFJS4,ECT,421.0,0.0,421,421,0.0,0.0,18.591549295774648
SFJS5,ACSi,119.0,0.0,119,119,7.4,3.1469744638083843,0.0
SFJS5,ACSp,119.3,1.643167672515499,119,128,5.0,2.8039381172767066,0.25210084033613206
SFJS5,ECT,147.0,0.0,147,147,0.0,0.0,23.52941176470588
SFJS6,ACSi,320.3333333333333,1.8257418583505538,320,330,8.966666666666667,3.347498637256898,0.10416666666666075
SFJS6,ACSp,320.6666666666667,2.537081317024624,320,330,6.4,3.058058883986872,0.20833333333333928
SFJS6,ECT,490.0,0.0,490,490,0.0,0.0,53.125
SFJS7,ACSi,398.4,3.201292842285592,397,407,7.833333333333333,2.7678366173294777,0.3526448362720346
SFJS7,ACSp,397.53333333333336,2.0296650536196994,397,405,6.5,3.0371265912099354,0.134340890008403
SFJS7,ECT,432.0,0.0,432,432,0.0,0.0,8.816120906801007
SFJS8,ACSi,255.5,3.8663000222524073,253,267,12.033333333333333,4.382436209055048,0.9881422924901186
SFJS8,ACSp,256.46666666666664,5.097215827822312,253,270,8.5,3.511066249289032,1.3702239789196207
SFJS8,ECT,327.0,0.0,327,327,0.0,0.0,29.249011857707508
SFJS9,ACSi,223.63333333333333,8.235680711490046,215,240,9.4,3.5777087639996634,6.492063492063488
SFJS9,ACSp,221.4,6.759922464358444,215,237,8.2,3.536996582919781,5.4285714285714315
SFJS9,ECT,267.0,0.0,267,267,0.0,0.0,27.142857142857142
SFJS10,ACSi,538.4,12.469549116644668,533,578,15.6,5.593099196392789,4.341085271317826
SFJS10,ACSp,544.5666666666667,22.262824019727,516,605,11.833333333333334,5.452511811768156,5.536175710594326
SFJS10,ECT,608.0,0.0,608,608,0.0,0.0,17.829457364341085
MFJS1,ACSi,538.7666666666667,23.085572944177052,495,578,27.2,9.596694833333919,15.121082621082618
MFJS1,ACSp,539.9,27.304603628515554,500,605,14.333333333333334,4.436007317345209,15.363247863247858
MFJS1,ECT,785.0,0.0,785,785,0.0,0.0,67.73504273504274
MFJS2,ACSi,527.4,20.843588280663027,481,576,32.2,13.651828221637695,18.25112107623318
MFJS2,ACSp,530.6666666666666,23.21315520804192,472,574,16.966666666666665,6.509851067385507,18.983557548579963
MFJS2,ECT,585.0,0.0,585,585,0.0,0.0,31.16591928251121
MFJS3,ACSi,606.2333333333333,30.078842757147342,540,663,40.833333333333336,12.988279420263893,30.09298998569385
MFJS3,ACSp,614.9333333333333,31.087122662001043,536,674,19.566666666666666,6.452389738177114,31.959942775393408
MFJS3,ECT,839.0,0.0,839,839,0.0,0.0,80.04291845493562
MFJS4,ACSi,734.9666666666667,38.79342579687273,655,824,42.733333333333334,20.42637465653647,32.66546329723226
MFJS4,ACSp,726.1,41.30487989872717,630,795,23.533333333333335,8.063255667162178,31.06498194945849
MFJS4,ECT,940.0,0.0,940,940,0.0,0.0,69.67509025270758
MFJS5,ACSi,695.9666666666667,39.031802535822024,612,818,45.53333333333333,21.54823511987952,35.402075226977956
MFJS5,ACSp,699.7666666666667,47.81767335470716,612,790,24.366666666666667,7.184673982157093,36.14137483787289
MFJS5,ECT,875.0,0.0,875,875,0.0,0.0,70.23346303501945
MFJS6,ACSi,932.9666666666667,61.789678489340695,791,1046,44.86666666666667,24.739655913384155,51.94896851248644
MFJS6,ACSp,943.1666666666666,52.84726419913649,814,1056,24.2,6.905270351020999,53.61020629750271
MFJS6,ECT,1133.0,0.0,1133,1133,0.0,0.0,84.52768729641694
MFJS7,ACSi,1357.9,77.98644886707274,1191,1485,54.93333333333333,24.611370141255545,54.482366325369746
MFJS7,ACSp,1357.8666666666666,70.7359018892949,1179,1545,27.766666666666666,8.23233043359024,54.47857413727719
MFJS7,ECT,1715.0,0.0,1715,1715,0.0,0.0,95.10807736063708
MFJS8,ACSi,1399.3,75.78515458302117,1236,1601,61.5,32.67050763250423,80.55483870967741
MFJS8,ACSp,1383.0666666666666,90.6352802334086,1186,1579,33.13333333333333,9.726371309515935,78.46021505376343
MFJS8,ECT,1441.0,0.0,1441,1441,0.0,0.0,85.93548387096774
MFJS9,ACSi,1769.7333333333333,83.37283661395641,1634,1917,71.23333333333333,49.92248013659284,109.37147544345329
MFJS9,ACSp,1737.4333333333334,98.30237774979997,1494,1947,44.96666666666667,17.01618566872857,105.55016602386644
MFJS9,ECT,1944.0,0.0,1944,1944,0.0,0.0,129.98840593426874
MFJS10,ACSi,1980.0666666666666,123.98412949977143,1735,2262,81.86666666666666,57.021310797433195,109.5752187411798
MFJS10,ACSp,1988.6666666666667,99.8948872853217,1754,2186,44.46666666666667,11.470301482173607,110.48546429579453
MFJS10,ECT,1944.0,0.0,1944,1944,0.0,0.0,105.75783234546996
