instance,algorithm,makespan_mean,makespan_std,makespan_min,makespan_max,time_mean,time_std
SFJS1,ACSi,66.0,0.0,66,66,2.73,2.0
SFJS1,ACSp,66.0,0.0,66,66,3.7,2.93
SFJS1,ECT,91.0,0.0,91,91,0.0,0.0
SFJS2,ECT,128.0,0.0,128,128,0.0,0.0
SFJS2,ACSi,107.0,0.0,107,107,3.1,1.83
SFJS2,ACSp,107.0,0.0,107,107,3.27,2.89
SFJS3,ACSp,221.0,0.0,221,221,4.47,2.87
SFJS3,ACSi,221.0,0.0,221,221,5.2,2.06
SFJS3,ECT,316.0,0.0,316,316,0.0,0.0
SFJS4,ACSi,360.53,10.91,355,396,4.73,2.0
SFJS4,ACSp,358.77,8.55,355,396,4.8,2.92
SFJS4,ECT,421.0,0.0,421,421,0.0,0.0
SFJS5,ACSi,119.0,0.0,119,119,7.4,3.15
SFJS5,ACSp,119.3,1.64,119,128,5.0,2.8
SFJS5,ECT,147.0,0.0,147,147,0.0,0.0
SFJS6,ECT,490.0,0.0,490,490,0.0,0.0
SFJS6,ACSi,320.33,1.83,320,330,8.97,3.35
SFJS6,ACSp,320.67,2.54,320,330,6.4,3.06
SFJS7,ECT,432.0,0.0,432,432,0.0,0.0
SFJS7,ACSp,397.53,2.03,397,405,6.5,3.04
SFJS7,ACSi,398.4,3.2,397,407,7.83,2.77
SFJS8,ACSi,255.5,3.87,253,267,12.03,4.38
SFJS8,ACSp,256.47,5.1,253,270,8.5,3.51
SFJS8,ECT,327.0,0.0,327,327,0.0,0.0
SFJS9,ACSi,223.63,8.24,215,240,9.4,3.58
SFJS9,ACSp,221.4,6.76,215,237,8.2,3.54
SFJS9,ECT,267.0,0.0,267,267,0.0,0.0
SFJS10,ACSi,538.4,12.47,533,578,15.6,5.59
SFJS10,ECT,608.0,0.0,608,608,0.0,0.0
SFJS10,ACSp,544.57,22.26,516,605,11.83,5.45
MFJS1,ACSi,538.77,23.09,495,578,27.2,9.6
MFJS1,ACSp,539.9,27.3,500,605,14.33,4.44
MFJS1,ECT,785.0,0.0,785,785,0.0,0.0
MFJS2,ACSp,530.67,23.21,472,574,16.97,6.51
MFJS2,ECT,585.0,0.0,585,585,0.0,0.0
MFJS2,ACSi,527.4,20.84,481,576,32.2,13.65
MFJS3,ACSp,614.93,31.09,536,674,19.57,6.45
MFJS3,ACSi,606.23,30.08,540,663,40.83,12.99
MFJS3,ECT,839.0,0.0,839,839,0.0,0.0
MFJS4,ACSi,734.97,38.79,655,824,42.73,20.43
MFJS4,ACSp,726.1,41.3,630,795,23.53,8.06
MFJS4,ECT,940.0,0.0,940,940,0.0,0.0
MFJS5,ACSp,699.77,47.82,612,790,24.37,7.18
MFJS5,ACSi,695.97,39.03,612,818,45.53,21.55
MFJS5,ECT,875.0,0.0,875,875,0.0,0.0
MFJS6,ACSp,943.17,52.85,814,1056,24.2,6.91
MFJS6,ECT,1133.0,0.0,1133,1133,0.0,0.0
MFJS6,ACSi,932.97,61.79,791,1046,44.87,24.74
MFJS7,ACSp,1357.87,70.74,1179,1545,27.77,8.23
MFJS7,ACSi,1357.9,77.99,1191,1485,54.93,24.61
MFJS7,ECT,1715.0,0.0,1715,1715,0.0,0.0
MFJS8,ACSi,1399.3,75.79,1236,1601,61.5,32.67
MFJS8,ACSp,1383.07,90.64,1186,1579,33.13,9.73
MFJS8,ECT,1441.0,0.0,1441,1441,0.0,0.0
MFJS9,ACSi,1769.73,83.37,1634,1917,71.23,49.92
MFJS9,ECT,1944.0,0.0,1944,1944,0.0,0.0
MFJS9,ACSp,1737.43,98.3,1494,1947,44.97,17.02
MFJS10,ACSi,1980.07,123.98,1735,2262,81.87,57.02
MFJS10,ECT,1944.0,0.0,1944,1944,0.0,0.0
MFJS10,ACSp,1988.67,99.89,1754,2186,44.47,11.47
