instance,algorithm,run,makespan,time
MK1,ACSi,1,60,134
MK1,ACSi,2,63,82
MK1,ACSi,3,60,241
MK1,ACSi,4,61,101
MK1,ACSi,5,63,118
MK1,ACSi,6,58,179
MK1,ACSi,7,55,174
MK1,ACSi,8,62,107
MK1,ACSi,9,58,146
MK1,ACSi,10,60,44
MK1,ACSi,11,56,80
MK1,ACSi,12,58,57
MK1,ACSi,13,55,60
MK1,ACSi,14,62,43
MK1,ACSi,15,63,57
MK1,ACSi,16,52,49
MK1,ACSi,17,59,58
MK1,ACSi,18,55,102
MK1,ACSi,19,58,46
MK1,ACSi,20,57,65
MK1,ACSi,21,60,41
MK1,ACSi,22,58,38
MK1,ACSi,23,54,76
MK1,ACSi,24,57,72
MK1,ACSi,25,57,46
MK1,ACSi,26,55,61
MK1,ACSi,27,65,31
MK1,ACSi,28,61,38
MK1,ACSi,29,56,42
MK1,ACSi,30,56,42
MK1,ACSp,1,57,44
MK1,ACSp,2,63,33
MK1,ACSp,3,62,25
MK1,ACSp,4,63,37
MK1,ACSp,5,60,39
MK1,ACSp,6,65,53
MK1,ACSp,7,60,63
MK1,ACSp,8,61,44
MK1,ACSp,9,57,40
MK1,ACSp,10,61,55
MK1,ACSp,11,61,43
MK1,ACSp,12,61,44
MK1,ACSp,13,61,39
MK1,ACSp,14,62,62
MK1,ACSp,15,66,33
MK1,ACSp,16,64,49
MK1,ACSp,17,58,96
MK1,ACSp,18,70,33
MK1,ACSp,19,60,30
MK1,ACSp,20,60,45
MK1,ACSp,21,63,59
MK1,ACSp,22,56,30
MK1,ACSp,23,67,29
MK1,ACSp,24,58,44
MK1,ACSp,25,56,31
MK1,ACSp,26,58,31
MK1,ACSp,27,58,35
MK1,ACSp,28,59,44
MK1,ACSp,29,60,41
MK1,ACSp,30,59,30
MK1,ECT,1,73,0
MK1,ECT,2,73,0
MK1,ECT,3,73,0
MK1,ECT,4,73,0
MK1,ECT,5,73,0
MK1,ECT,6,73,0
MK1,ECT,7,73,0
MK1,ECT,8,73,1
MK1,ECT,9,73,0
MK1,ECT,10,73,0
MK1,ECT,11,73,0
MK1,ECT,12,73,0
MK1,ECT,13,73,0
MK1,ECT,14,73,0
MK1,ECT,15,73,0
MK1,ECT,16,73,0
MK1,ECT,17,73,0
MK1,ECT,18,73,0
MK1,ECT,19,73,0
MK1,ECT,20,73,0
MK1,ECT,21,73,0
MK1,ECT,22,73,0
MK1,ECT,23,73,0
MK1,ECT,24,73,0
MK1,ECT,25,73,0
MK1,ECT,26,73,0
MK1,ECT,27,73,1
MK1,ECT,28,73,0
MK1,ECT,29,73,0
MK1,ECT,30,73,0
MK10,ACSi,1,588,791
