instance,algorithm,run,makespan,time
SFJS1,ACSi,1,66,13
SFJS1,ACSi,2,66,3
SFJS1,ACSi,3,66,3
SFJS1,ACSi,4,66,3
SFJS1,ACSi,5,66,3
SFJS1,ACSi,6,66,2
SFJS1,ACSi,7,66,3
SFJS1,ACSi,8,66,2
SFJS1,ACSi,9,66,2
SFJS1,ACSi,10,66,2
SFJS1,ACSi,11,66,2
SFJS1,ACSi,12,66,2
SFJS1,ACSi,13,66,3
SFJS1,ACSi,14,66,2
SFJS1,ACSi,15,66,2
SFJS1,ACSi,16,66,3
SFJS1,ACSi,17,66,2
SFJS1,ACSi,18,66,3
SFJS1,ACSi,19,66,3
SFJS1,ACSi,20,66,2
SFJS1,ACSi,21,66,2
SFJS1,ACSi,22,66,2
SFJS1,ACSi,23,66,3
SFJS1,ACSi,24,66,2
SFJS1,ACSi,25,66,2
SFJS1,ACSi,26,66,3
SFJS1,ACSi,27,66,2
SFJS1,ACSi,28,66,2
SFJS1,ACSi,29,66,2
SFJS1,ACSi,30,66,2
SFJS1,ACSp,1,66,19
SFJS1,ACSp,2,66,4
SFJS1,ACSp,3,66,3
SFJS1,ACSp,4,66,3
SFJS1,ACSp,5,66,3
SFJS1,ACSp,6,66,4
SFJS1,ACSp,7,66,3
SFJS1,ACSp,8,66,3
SFJS1,ACSp,9,66,3
SFJS1,ACSp,10,66,3
SFJS1,ACSp,11,66,3
SFJS1,ACSp,12,66,4
SFJS1,ACSp,13,66,3
SFJS1,ACSp,14,66,2
SFJS1,ACSp,15,66,3
SFJS1,ACSp,16,66,3
SFJS1,ACSp,17,66,3
SFJS1,ACSp,18,66,3
SFJS1,ACSp,19,66,3
SFJS1,ACSp,20,66,3
SFJS1,ACSp,21,66,3
SFJS1,ACSp,22,66,3
SFJS1,ACSp,23,66,3
SFJS1,ACSp,24,66,4
SFJS1,ACSp,25,66,3
SFJS1,ACSp,26,66,3
SFJS1,ACSp,27,66,4
SFJS1,ACSp,28,66,3
SFJS1,ACSp,29,66,3
SFJS1,ACSp,30,66,4
SFJS1,ECT,1,91,0
SFJS1,ECT,2,91,0
SFJS1,ECT,3,91,0
SFJS1,ECT,4,91,0
SFJS1,ECT,5,91,0
SFJS1,ECT,6,91,0
SFJS1,ECT,7,91,0
SFJS1,ECT,8,91,0
SFJS1,ECT,9,91,0
SFJS1,ECT,10,91,0
SFJS1,ECT,11,91,0
SFJS1,ECT,12,91,0
SFJS1,ECT,13,91,0
SFJS1,ECT,14,91,0
SFJS1,ECT,15,91,0
SFJS1,ECT,16,91,0
SFJS1,ECT,17,91,0
SFJS1,ECT,18,91,0
SFJS1,ECT,19,91,0
SFJS1,ECT,20,91,0
SFJS1,ECT,21,91,0
SFJS1,ECT,22,91,0
SFJS1,ECT,23,91,0
SFJS1,ECT,24,91,0
SFJS1,ECT,25,91,0
SFJS1,ECT,26,91,0
SFJS1,ECT,27,91,0
SFJS1,ECT,28,91,0
SFJS1,ECT,29,91,0
SFJS1,ECT,30,91,0
SFJS10,ACSi,1,533,30
SFJS10,ACSi,2,533,13
SFJS10,ACSi,3,578,9
SFJS10,ACSi,4,533,8
SFJS10,ACSi,5,533,8
SFJS10,ACSi,6,578,7
SFJS10,ACSi,7,533,18
SFJS10,ACSi,8,533,9
SFJS10,ACSi,9,533,13
SFJS10,ACSi,10,533,17
SFJS10,ACSi,11,533,13
SFJS10,ACSi,12,533,22
SFJS10,ACSi,13,533,15
SFJS10,ACSi,14,553,16
SFJS10,ACSi,15,538,13
SFJS10,ACSi,16,533,19
SFJS10,ACSi,17,533,12
SFJS10,ACSi,18,533,14
SFJS10,ACSi,19,555,24
SFJS10,ACSi,20,533,19
SFJS10,ACSi,21,553,13
SFJS10,ACSi,22,533,14
SFJS10,ACSi,23,533,14
SFJS10,ACSi,24,538,13
SFJS10,ACSi,25,533,17
SFJS10,ACSi,26,533,17
SFJS10,ACSi,27,533,12
SFJS10,ACSi,28,533,25
SFJS10,ACSi,29,533,26
SFJS10,ACSi,30,533,18
SFJS10,ACSp,1,533,29
SFJS10,ACSp,2,582,6
SFJS10,ACSp,3,533,14
SFJS10,ACSp,4,533,13
SFJS10,ACSp,5,533,8
SFJS10,ACSp,6,533,8
SFJS10,ACSp,7,555,7
SFJS10,ACSp,8,533,8
SFJS10,ACSp,9,582,7
SFJS10,ACSp,10,533,17
SFJS10,ACSp,11,533,8
SFJS10,ACSp,12,553,6
SFJS10,ACSp,13,605,8
SFJS10,ACSp,14,533,15
SFJS10,ACSp,15,582,12
SFJS10,ACSp,16,533,13
SFJS10,ACSp,17,538,22
SFJS10,ACSp,18,533,9
SFJS10,ACSp,19,533,7
SFJS10,ACSp,20,533,8
SFJS10,ACSp,21,533,15
SFJS10,ACSp,22,533,10
SFJS10,ACSp,23,582,7
SFJS10,ACSp,24,582,17
SFJS10,ACSp,25,533,22
SFJS10,ACSp,26,533,11
SFJS10,ACSp,27,533,14
SFJS10,ACSp,28,516,11
SFJS10,ACSp,29,533,9
SFJS10,ACSp,30,533,14
SFJS10,ECT,1,608,0
SFJS10,ECT,2,608,0
SFJS10,ECT,3,608,0
SFJS10,ECT,4,608,0
SFJS10,ECT,5,608,0
SFJS10,ECT,6,608,0
SFJS10,ECT,7,608,0
SFJS10,ECT,8,608,0
SFJS10,ECT,9,608,0
SFJS10,ECT,10,608,0
SFJS10,ECT,11,608,0
SFJS10,ECT,12,608,0
SFJS10,ECT,13,608,0
SFJS10,ECT,14,608,0
SFJS10,ECT,15,608,0
SFJS10,ECT,16,608,0
SFJS10,ECT,17,608,0
SFJS10,ECT,18,608,0
SFJS10,ECT,19,608,0
SFJS10,ECT,20,608,0
SFJS10,ECT,21,608,0
SFJS10,ECT,22,608,0
SFJS10,ECT,23,608,0
SFJS10,ECT,24,608,0
SFJS10,ECT,25,608,0
SFJS10,ECT,26,608,0
SFJS10,ECT,27,608,0
SFJS10,ECT,28,608,0
SFJS10,ECT,29,608,0
SFJS10,ECT,30,608,0
