instance,algorithm,run,makespan,time
RBSZ1,ACSi,1,1277.1877777777777,7741
RBSZ1,ACSi,2,1274.2219444444445,12298
RBSZ1,ACSi,3,1282.8677777777777,12342
RBSZ1,ACSi,4,1279.6922222222222,11503
RBSZ1,ACSi,5,1273.6747222222223,6145
RBSZ1,ACSi,6,1280.0958333333333,10750
RBSZ1,ACSi,7,1283.7705555555556,6844
RBSZ1,ACSi,8,1278.3541666666667,14371
RBSZ1,ACSi,9,1274.6219444444444,10813
RBSZ1,ACSi,10,1283.7525,9364
RBSZ1,ACSi,11,1282.7794444444444,9376
RBSZ1,ACSi,12,1277.671111111111,11098
RBSZ1,ACSi,13,1280.703888888889,10571
RBSZ1,ACSi,14,1276.4886111111111,7560
RBSZ1,ACSi,15,1279.6877777777777,7874
RBSZ1,ACSi,16,1284.6144444444444,6030
RBSZ1,ACSi,17,1273.003611111111,9845
RBSZ1,ACSi,18,1272.088888888889,6836
RBSZ1,ACSi,19,1283.4255555555555,5965
RBSZ1,ACSi,20,1274.5313888888888,7344
RBSZ1,ACSi,21,1272.088888888889,8744
RBSZ1,ACSi,22,1277.8216666666667,9653
RBSZ1,ACSi,23,1275.7369444444444,8091
RBSZ1,ACSi,24,1281.7183333333332,11248
RBSZ1,ACSi,25,1276.7122222222222,7520
RBSZ1,ACSi,26,1280.085,6151
RBSZ1,ACSi,27,1279.7519444444445,10215
RBSZ1,ACSi,28,1280.7933333333333,7395
RBSZ1,ACSi,29,1283.9019444444446,10203
RBSZ1,ACSi,30,1274.2219444444445,12960
RBSZ1,ACSp,1,1274.0513888888888,2954
RBSZ1,ACSp,2,1282.3561111111112,1862
RBSZ1,ACSp,3,1278.6269444444445,3569
RBSZ1,ACSp,4,1283.2491666666667,2087
RBSZ1,ACSp,5,1276.1,3238
RBSZ1,ACSp,6,1280.7605555555556,3250
RBSZ1,ACSp,7,1273.0219444444444,2199
RBSZ1,ACSp,8,1282.0041666666666,2680
RBSZ1,ACSp,9,1279.1933333333334,2211
RBSZ1,ACSp,10,1275.0602777777779,3151
RBSZ1,ACSp,11,1275.7888888888888,2350
RBSZ1,ACSp,12,1274.003888888889,4095
RBSZ1,ACSp,13,1279.003888888889,2926
RBSZ1,ACSp,14,1274.2219444444445,2714
RBSZ1,ACSp,15,1277.5455555555557,2463
RBSZ1,ACSp,16,1274.3405555555555,2228
RBSZ1,ACSp,17,1281.3975,2553
RBSZ1,ACSp,18,1272.7191666666668,1932
RBSZ1,ACSp,19,1277.9258333333332,3325
RBSZ1,ACSp,20,1276.0952777777777,3540
RBSZ1,ACSp,21,1276.9180555555556,3420
RBSZ1,ACSp,22,1280.9272222222223,2524
RBSZ1,ACSp,23,1281.233611111111,1486
RBSZ1,ACSp,24,1274.8980555555556,2313
RBSZ1,ACSp,25,1276.368611111111,2622
RBSZ1,ACSp,26,1273.5008333333333,4060
RBSZ1,ACSp,27,1278.1816666666666,3830
RBSZ1,ACSp,28,1275.9197222222222,2736
RBSZ1,ACSp,29,1278.2911111111111,2723
RBSZ1,ACSp,30,1275.9594444444444,3790
RBSZ1,ECT,1,1310.9852777777778,40
RBSZ1,ECT,2,1310.9852777777778,40
RBSZ1,ECT,3,1310.9852777777778,41
RBSZ1,ECT,4,1310.9852777777778,45
RBSZ1,ECT,5,1310.9852777777778,46
RBSZ1,ECT,6,1310.9852777777778,42
RBSZ1,ECT,7,1310.9852777777778,19
RBSZ1,ECT,8,1310.9852777777778,21
RBSZ1,ECT,9,1310.9852777777778,27
RBSZ1,ECT,10,1310.9852777777778,20
RBSZ1,ECT,11,1310.9852777777778,19
RBSZ1,ECT,12,1310.9852777777778,15
RBSZ1,ECT,13,1310.9852777777778,15
RBSZ1,ECT,14,1310.9852777777778,16
RBSZ1,ECT,15,1310.9852777777778,15
RBSZ1,ECT,16,1310.9852777777778,15
RBSZ1,ECT,17,1310.9852777777778,16
RBSZ1,ECT,18,1310.9852777777778,17
RBSZ1,ECT,19,1310.9852777777778,16
RBSZ1,ECT,20,1310.9852777777778,15
RBSZ1,ECT,21,1310.9852777777778,17
RBSZ1,ECT,22,1310.9852777777778,15
RBSZ1,ECT,23,1310.9852777777778,17
RBSZ1,ECT,24,1310.9852777777778,16
RBSZ1,ECT,25,1310.9852777777778,15
RBSZ1,ECT,26,1310.9852777777778,17
RBSZ1,ECT,27,1310.9852777777778,15
RBSZ1,ECT,28,1310.9852777777778,21
RBSZ1,ECT,29,1310.9852777777778,15
RBSZ1,ECT,30,1310.9852777777778,14
RBSZ2,ACSi,1,15663.109722222222,5915
RBSZ2,ACSi,2,15663.109722222222,5398
RBSZ2,ACSi,3,15663.109722222222,5481
RBSZ2,ACSi,4,15663.109722222222,5557
RBSZ2,ACSi,5,15663.109722222222,5720
RBSZ2,ACSi,6,15663.109722222222,5484
RBSZ2,ACSi,7,15663.109722222222,5471
RBSZ2,ACSi,8,15663.109722222222,5460
RBSZ2,ACSi,9,15663.109722222222,5507
RBSZ2,ACSi,10,15663.109722222222,5579
RBSZ2,ACSi,11,15663.109722222222,5511
RBSZ2,ACSi,12,15663.109722222222,5920
RBSZ2,ACSi,13,15663.109722222222,5904
RBSZ2,ACSi,14,15663.109722222222,5442
RBSZ2,ACSi,15,15663.109722222222,5541
RBSZ2,ACSi,16,15663.109722222222,5942
RBSZ2,ACSi,17,15663.109722222222,5422
RBSZ2,ACSi,18,15663.109722222222,5712
RBSZ2,ACSi,19,15663.109722222222,4501
RBSZ2,ACSi,20,15663.109722222222,5145
RBSZ2,ACSi,21,15663.109722222222,5359
RBSZ2,ACSi,22,15663.109722222222,5420
RBSZ2,ACSi,23,15663.109722222222,5890
RBSZ2,ACSi,24,15663.109722222222,5464
RBSZ2,ACSi,25,15663.109722222222,5401
RBSZ2,ACSi,26,15663.109722222222,5472
RBSZ2,ACSi,27,15663.109722222222,5480
RBSZ2,ACSi,28,15663.109722222222,5390
RBSZ2,ACSi,29,15663.109722222222,5408
RBSZ2,ACSi,30,15663.109722222222,5542
RBSZ2,ACSp,1,15663.109722222222,1886
RBSZ2,ACSp,2,15663.109722222222,1312
RBSZ2,ACSp,3,15663.109722222222,1424
RBSZ2,ACSp,4,15663.109722222222,1303
RBSZ2,ACSp,5,15663.109722222222,1417
RBSZ2,ACSp,6,15663.109722222222,1404
RBSZ2,ACSp,7,15663.109722222222,1416
RBSZ2,ACSp,8,15663.109722222222,1408
RBSZ2,ACSp,9,15663.109722222222,1317
RBSZ2,ACSp,10,15663.109722222222,1305
RBSZ2,ACSp,11,15663.109722222222,1319
RBSZ2,ACSp,12,15663.109722222222,1419
RBSZ2,ACSp,13,15663.109722222222,1315
RBSZ2,ACSp,14,15663.109722222222,1323
RBSZ2,ACSp,15,15663.109722222222,1437
RBSZ2,ACSp,16,15663.109722222222,1425
RBSZ2,ACSp,17,15663.109722222222,1317
RBSZ2,ACSp,18,15663.109722222222,1311
RBSZ2,ACSp,19,15663.109722222222,1426
RBSZ2,ACSp,20,15663.109722222222,1410
RBSZ2,ACSp,21,15663.109722222222,1429
RBSZ2,ACSp,22,15663.109722222222,1420
RBSZ2,ACSp,23,15663.109722222222,1325
RBSZ2,ACSp,24,15663.109722222222,1419
RBSZ2,ACSp,25,15663.109722222222,1428
RBSZ2,ACSp,26,15663.109722222222,1329
RBSZ2,ACSp,27,15663.109722222222,1325
RBSZ2,ACSp,28,15663.109722222222,1412
RBSZ2,ACSp,29,15663.109722222222,1380
RBSZ2,ACSp,30,15663.109722222222,1387
RBSZ2,ECT,1,16354.533333333333,47
RBSZ2,ECT,2,16354.533333333333,45
RBSZ2,ECT,3,16354.533333333333,48
RBSZ2,ECT,4,16354.533333333333,43
RBSZ2,ECT,5,16354.533333333333,52
RBSZ2,ECT,6,16354.533333333333,22
RBSZ2,ECT,7,16354.533333333333,21
RBSZ2,ECT,8,16354.533333333333,21
RBSZ2,ECT,9,16354.533333333333,23
RBSZ2,ECT,10,16354.533333333333,22
RBSZ2,ECT,11,16354.533333333333,18
RBSZ2,ECT,12,16354.533333333333,16
RBSZ2,ECT,13,16354.533333333333,15
RBSZ2,ECT,14,16354.533333333333,18
RBSZ2,ECT,15,16354.533333333333,15
RBSZ2,ECT,16,16354.533333333333,17
RBSZ2,ECT,17,16354.533333333333,16
RBSZ2,ECT,18,16354.533333333333,16
RBSZ2,ECT,19,16354.533333333333,17
RBSZ2,ECT,20,16354.533333333333,16
RBSZ2,ECT,21,16354.533333333333,17
RBSZ2,ECT,22,16354.533333333333,16
RBSZ2,ECT,23,16354.533333333333,18
RBSZ2,ECT,24,16354.533333333333,16
RBSZ2,ECT,25,16354.533333333333,15
RBSZ2,ECT,26,16354.533333333333,15
RBSZ2,ECT,27,16354.533333333333,19
RBSZ2,ECT,28,16354.533333333333,15
RBSZ2,ECT,29,16354.533333333333,16
RBSZ2,ECT,30,16354.533333333333,18
RBSZ3,ACSi,1,291.97222222222223,7081
RBSZ3,ACSi,2,294.7297222222222,5401
RBSZ3,ACSi,3,291.37555555555554,8451
RBSZ3,ACSi,4,294.0827777777778,8452
RBSZ3,ACSi,5,293.9288888888889,13249
RBSZ3,ACSi,6,295.6327777777778,8358
RBSZ3,ACSi,7,294.5855555555556,5547
RBSZ3,ACSi,8,296.79333333333335,5356
RBSZ3,ACSi,9,297.5702777777778,6177
RBSZ3,ACSi,10,295.86083333333335,5394
RBSZ3,ACSi,11,282.0647222222222,5773
RBSZ3,ACSi,12,297.6327777777778,7115
RBSZ3,ACSi,13,296.9511111111111,5872
RBSZ3,ACSi,14,291.09583333333336,11202
RBSZ3,ACSi,15,297.80083333333334,13305
RBSZ3,ACSi,16,296.88166666666666,7648
RBSZ3,ACSi,17,289.7294444444444,5316
RBSZ3,ACSi,18,293.58694444444444,7042
RBSZ3,ACSi,19,296.89694444444444,5860
RBSZ3,ACSi,20,296.4536111111111,5851
RBSZ3,ACSi,21,295.6433333333333,6613
RBSZ3,ACSi,22,295.61805555555554,14243
RBSZ3,ACSi,23,292.37,6301
RBSZ3,ACSi,24,296.61055555555555,6718
RBSZ3,ACSi,25,294.10583333333335,11345
RBSZ3,ACSi,26,298.8308333333333,7382
RBSZ3,ACSi,27,296.81888888888886,7197
RBSZ3,ACSi,28,288.6336111111111,5307
RBSZ3,ACSi,29,289.18083333333334,5789
RBSZ3,ACSi,30,291.24333333333334,5415
RBSZ3,ACSp,1,294.2397222222222,1949
RBSZ3,ACSp,2,295.6813888888889,1998
RBSZ3,ACSp,3,295.3088888888889,1433
RBSZ3,ACSp,4,284.1011111111111,1541
RBSZ3,ACSp,5,291.8263888888889,1756
RBSZ3,ACSp,6,290.25111111111113,1998
RBSZ3,ACSp,7,295.6433333333333,2219
RBSZ3,ACSp,8,293.3072222222222,2788
RBSZ3,ACSp,9,297.68194444444447,1750
RBSZ3,ACSp,10,289.92333333333335,1873
RBSZ3,ACSp,11,289.6433333333333,1425
RBSZ3,ACSp,12,280.8647222222222,2341
RBSZ3,ACSp,13,299.7058333333333,3266
RBSZ3,ACSp,14,298.60583333333335,1536
RBSZ3,ACSp,15,295.78527777777776,1767
RBSZ3,ACSp,16,296.91,2212
RBSZ3,ACSp,17,290.30555555555554,2101
RBSZ3,ACSp,18,286.88972222222225,2090
RBSZ3,ACSp,19,295.9488888888889,2099
RBSZ3,ACSp,20,297.8638888888889,1759
RBSZ3,ACSp,21,291.93305555555554,2438
RBSZ3,ACSp,22,295.9327777777778,1525
RBSZ3,ACSp,23,287.0513888888889,2001
RBSZ3,ACSp,24,295.7925,1762
RBSZ3,ACSp,25,294.0516666666667,2325
RBSZ3,ACSp,26,293.7711111111111,1991
RBSZ3,ACSp,27,289.7238888888889,1983
RBSZ3,ACSp,28,297.79333333333335,1884
RBSZ3,ACSp,29,296.9327777777778,1432
RBSZ3,ACSp,30,299.35277777777776,1536
RBSZ3,ECT,1,299.67027777777776,29
RBSZ3,ECT,2,299.67027777777776,29
RBSZ3,ECT,3,299.67027777777776,28
RBSZ3,ECT,4,299.67027777777776,28
RBSZ3,ECT,5,299.67027777777776,30
RBSZ3,ECT,6,299.67027777777776,33
RBSZ3,ECT,7,299.67027777777776,17
RBSZ3,ECT,8,299.67027777777776,16
RBSZ3,ECT,9,299.67027777777776,15
RBSZ3,ECT,10,299.67027777777776,17
RBSZ3,ECT,11,299.67027777777776,18
RBSZ3,ECT,12,299.67027777777776,15
RBSZ3,ECT,13,299.67027777777776,16
RBSZ3,ECT,14,299.67027777777776,14
RBSZ3,ECT,15,299.67027777777776,14
RBSZ3,ECT,16,299.67027777777776,14
RBSZ3,ECT,17,299.67027777777776,14
RBSZ3,ECT,18,299.67027777777776,15
RBSZ3,ECT,19,299.67027777777776,16
RBSZ3,ECT,20,299.67027777777776,15
RBSZ3,ECT,21,299.67027777777776,9
RBSZ3,ECT,22,299.67027777777776,11
RBSZ3,ECT,23,299.67027777777776,9
RBSZ3,ECT,24,299.67027777777776,10
RBSZ3,ECT,25,299.67027777777776,10
RBSZ3,ECT,26,299.67027777777776,9
RBSZ3,ECT,27,299.67027777777776,10
RBSZ3,ECT,28,299.67027777777776,9
RBSZ3,ECT,29,299.67027777777776,9
RBSZ3,ECT,30,299.67027777777776,9
RBSZ4,ACSi,1,3784.4622222222224,467576
RBSZ4,ACSi,2,3832.711388888889,385511
RBSZ4,ACSi,3,3690.7966666666666,242113
RBSZ4,ACSi,4,3801.9455555555555,318556
RBSZ4,ACSi,5,3781.0225,298062
RBSZ4,ACSi,6,3742.4555555555557,242869
RBSZ4,ACSi,7,3731.7027777777776,260724
RBSZ4,ACSi,8,3781.751111111111,373539
RBSZ4,ACSi,9,3786.978611111111,352250
RBSZ4,ACSi,10,3761.0686111111113,335577
RBSZ4,ACSi,11,3836.5852777777777,297925
RBSZ4,ACSi,12,3804.361388888889,315815
RBSZ4,ACSi,13,3750.9616666666666,390348
RBSZ4,ACSi,14,3796.0266666666666,243335
RBSZ4,ACSi,15,3817.4172222222223,332663
RBSZ4,ACSi,16,3816.1902777777777,429271
RBSZ4,ACSi,17,3748.2719444444447,279547
RBSZ4,ACSi,18,3799.936388888889,241799
RBSZ4,ACSi,19,3758.8025,488612
RBSZ4,ACSi,20,3762.974722222222,242104
RBSZ4,ACSi,21,3792.371111111111,409564
RBSZ4,ACSi,22,3817.4869444444444,278483
RBSZ4,ACSi,23,3810.8080555555557,242109
RBSZ4,ACSi,24,3761.8108333333334,261131
RBSZ4,ACSi,25,3781.3083333333334,259626
RBSZ4,ACSi,26,3828.811388888889,300737
RBSZ4,ACSi,27,3794.7838888888887,279395
RBSZ4,ACSi,28,3763.988888888889,313204
RBSZ4,ACSi,29,3767.472777777778,281472
RBSZ4,ACSi,30,3757.2280555555553,261838
RBSZ4,ACSp,1,3812.902777777778,181008
RBSZ4,ACSp,2,3794.74,106049
RBSZ4,ACSp,3,3742.487777777778,89500
RBSZ4,ACSp,4,3768.2325,77511
RBSZ4,ACSp,5,3788.5505555555555,71985
RBSZ4,ACSp,6,3757.494166666667,117140
RBSZ4,ACSp,7,3813.819722222222,72182
RBSZ4,ACSp,8,3742.251388888889,83163
RBSZ4,ACSp,9,3780.3866666666668,122834
RBSZ4,ACSp,10,3815.7194444444444,162556
RBSZ4,ACSp,11,3745.7291666666665,106106
RBSZ4,ACSp,12,3768.4819444444443,111636
RBSZ4,ACSp,13,3726.6116666666667,88732
RBSZ4,ACSp,14,3780.4069444444444,72076
RBSZ4,ACSp,15,3780.226388888889,122617
RBSZ4,ACSp,16,3777.0686111111113,94506
RBSZ4,ACSp,17,3769.2869444444445,78163
RBSZ4,ACSp,18,3772.6075,163386
RBSZ4,ACSp,19,3812.825277777778,94862
RBSZ4,ACSp,20,3821.146111111111,101040
RBSZ4,ACSp,21,3782.3372222222224,134754
RBSZ4,ACSp,22,3795.0294444444444,117568
RBSZ4,ACSp,23,3817.648611111111,83321
RBSZ4,ACSp,24,3721.0491666666667,94757
RBSZ4,ACSp,25,3760.5730555555556,94792
RBSZ4,ACSp,26,3762.0658333333336,140387
RBSZ4,ACSp,27,3774.6619444444445,112119
RBSZ4,ACSp,28,3765.978611111111,129155
RBSZ4,ACSp,29,3776.595,106569
RBSZ4,ACSp,30,3788.533611111111,78085
RBSZ4,ECT,1,3818.8930555555557,772
RBSZ4,ECT,2,3818.8930555555557,791
RBSZ4,ECT,3,3818.8930555555557,738
RBSZ4,ECT,4,3818.8930555555557,704
RBSZ4,ECT,5,3818.8930555555557,710
RBSZ4,ECT,6,3818.8930555555557,716
RBSZ4,ECT,7,3818.8930555555557,703
RBSZ4,ECT,8,3818.8930555555557,720
RBSZ4,ECT,9,3818.8930555555557,728
RBSZ4,ECT,10,3818.8930555555557,737
RBSZ4,ECT,11,3818.8930555555557,740
RBSZ4,ECT,12,3818.8930555555557,741
RBSZ4,ECT,13,3818.8930555555557,757
RBSZ4,ECT,14,3818.8930555555557,769
RBSZ4,ECT,15,3818.8930555555557,752
RBSZ4,ECT,16,3818.8930555555557,719
RBSZ4,ECT,17,3818.8930555555557,709
RBSZ4,ECT,18,3818.8930555555557,707
RBSZ4,ECT,19,3818.8930555555557,724
RBSZ4,ECT,20,3818.8930555555557,732
RBSZ4,ECT,21,3818.8930555555557,739
RBSZ4,ECT,22,3818.8930555555557,746
RBSZ4,ECT,23,3818.8930555555557,746
RBSZ4,ECT,24,3818.8930555555557,766
RBSZ4,ECT,25,3818.8930555555557,768
RBSZ4,ECT,26,3818.8930555555557,789
RBSZ4,ECT,27,3818.8930555555557,802
RBSZ4,ECT,28,3818.8930555555557,717
RBSZ4,ECT,29,3818.8930555555557,721
RBSZ4,ECT,30,3818.8930555555557,732
