Instance;Approach;Solver;Makespan (min);Makespan (avg);Makespan (max);Makespan (std);CPU TIME(ms) (min);CPU TIME(ms) (avg);CPU TIME(ms) (max);CPU TIME(ms) (std)
BrandimarteMk1;iterative;ASV3;52;56,53;63;2,45;50;122,27;423;85,24
BrandimarteMk1;iterative;greedy;68;68,00;68;0,00;0;0,00;0;0,00
BrandimarteMk1;iterative;EASV3;52;56,17;62;2,59;51;121,97;425;88,99
BrandimarteMk1;parallel;MMASV3;54;61,80;69;3,26;24;65,87;157;30,14
BrandimarteMk1;iterative;RBASV3;50;56,07;61;2,57;48;130,57;597;107,10
BrandimarteMk1;parallel;EASV3;51;56,17;64;2,94;23;75,73;205;44,32
BrandimarteMk1;iterative;MMASV3;54;61,83;67;3,17;41;104,10;405;88,17
BrandimarteMk1;iterative;ACSV3;54;59,60;63;2,27;42;100,60;263;64,73
BrandimarteMk1;parallel;RBASV3;51;56,17;60;2,12;19;86,13;250;65,71
BrandimarteMk1;parallel;ASV3;53;57,53;64;2,42;26;75,77;145;31,93
BrandimarteMk1;parallel;ACSV3;55;61,23;67;3,07;36;64,33;160;24,77
BrandimarteMk10;iterative;greedy;826;826,00;826;0,00;1;1,33;3;0,55
BrandimarteMk10;iterative;ACSV3;497;539,87;580;22,88;452;521,63;968;96,32
BrandimarteMk10;iterative;RBASV3;394;422,53;447;12,97;1290;2501,27;3663;770,50
BrandimarteMk10;parallel;MMASV3;462;487,20;525;15,88;264;689,67;1780;365,44
BrandimarteMk10;iterative;MMASV3;454;481,87;507;14,99;1007;2120,07;3560;783,67
BrandimarteMk10;iterative;ASV3;396;414,53;431;8,54;1295;2077,33;3602;464,26
BrandimarteMk10;parallel;ACSV3;502;542,33;606;24,41;117;168,00;369;83,40
BrandimarteMk10;iterative;EASV3;394;423,53;457;16,04;1312;2312,40;3669;674,56
BrandimarteMk10;parallel;RBASV3;382;419,33;462;18,98;341;768,87;1266;266,55
BrandimarteMk10;parallel;ASV3;392;416,27;438;11,41;406;680,23;1197;214,45
BrandimarteMk10;parallel;EASV3;402;425,47;456;13,78;397;756,93;1765;277,56
BrandimarteMk11;iterative;MMASV3;772;844,07;894;26,45;840;1536,13;3354;592,64
BrandimarteMk11;iterative;RBASV3;784;811,30;840;16,51;1181;1781,23;2909;548,02
BrandimarteMk11;iterative;EASV3;769;809,37;851;22,46;1035;1799,53;2934;479,38
BrandimarteMk11;iterative;ASV3;779;825,70;855;18,53;1021;1529,87;2187;307,61
BrandimarteMk11;parallel;ASV3;796;833,83;865;20,04;338;558,73;1426;201,24
BrandimarteMk11;parallel;ACSV3;841;940,23;995;30,29;77;121,67;292;65,40
BrandimarteMk11;iterative;ACSV3;827;922,43;989;32,37;300;348,73;867;100,65
BrandimarteMk11;parallel;RBASV3;767;806,90;832;16,30;342;642,37;1735;282,18
BrandimarteMk11;parallel;EASV3;771;817,67;877;25,29;331;633,43;1181;254,13
BrandimarteMk11;parallel;MMASV3;807;841,00;892;18,99;259;548,10;1512;299,33
BrandimarteMk11;iterative;greedy;1307;1307,00;1307;0,00;1;1,43;2;0,50
BrandimarteMk12;iterative;EASV3;677;714,40;769;27,55;1090;1950,43;3615;644,29
BrandimarteMk12;parallel;EASV3;641;707,77;740;22,65;371;665,83;1401;214,93
BrandimarteMk12;parallel;RBASV3;652;697,73;754;22,08;357;723,90;2073;372,21
BrandimarteMk12;parallel;MMASV3;687;745,50;776;20,87;269;562,70;1939;348,57
