Instance;Approach;Solver;Makespan (min);Makespan (avg);Makespan (max);Makespan (std);CPU TIME(ms) (min);CPU TIME(ms) (avg);CPU TIME(ms) (max);CPU TIME(ms) (std)
Fattahi1;iterative;RBASV1;86;86,17;91;0,91;4;6,07;27;4,35
Fattahi1;parallel;MMASV1;86;86,10;89;0,55;2;3,90;28;4,72
Fattahi1;parallel;RBASV1;86;86,33;91;1,27;3;6,13;31;4,90
Fattahi1;iterative;EASV1;86;86,17;91;0,91;5;7,17;23;3,27
Fattahi1;iterative;ASV1;86;86,00;86;0,00;3;6,83;29;4,42
Fattahi1;iterative;greedy;135;135,00;135;0,00;0;0,00;0;0,00
Fattahi1;iterative;ACSV1;86;86,00;86;0,00;4;5,73;22;3,20
Fattahi1;iterative;MMASV1;86;86,17;91;0,91;1;2,10;19;3,34
Fattahi1;parallel;ACSV1;86;86,00;86;0,00;3;4,23;25;4,01
Fattahi1;parallel;EASV1;86;86,00;86;0,00;4;7,97;29;4,53
Fattahi1;parallel;ASV1;86;86,17;91;0,91;4;7,10;27;4,14
Fattahi10;iterative;greedy;608;608,00;608;0,00;0;0,00;0;0,00
Fattahi10;parallel;ASV1;605;689,13;693;15,89;18;44,63;113;21,87
Fattahi10;parallel;MMASV1;605;688,80;749;22,64;5;9,67;34;5,21
Fattahi10;parallel;ACSV1;605;681,80;692;26,74;7;10,83;32;4,84
Fattahi10;iterative;RBASV1;626;692,47;779;20,31;17;36,60;68;13,55
Fattahi10;iterative;EASV1;692;693,27;713;4,85;21;43,40;76;15,68
Fattahi10;parallel;RBASV1;692;692,00;692;0,00;16;32,80;56;11,68
Fattahi10;parallel;EASV1;626;690,70;764;22,20;22;42,87;73;13,58
Fattahi10;iterative;ACSV1;543;684,83;692;29,37;13;22,27;34;6,65
Fattahi10;iterative;ASV1;628;689,87;692;11,68;10;33,80;65;12,81
Fattahi10;iterative;MMASV1;605;689,17;693;15,90;5;11,73;33;6,06
Fattahi11;parallel;EASV1;427;578,20;685;65,95;28;96,77;270;75,10
Fattahi11;iterative;greedy;783;783,00;783;0,00;0;0,00;0;0,00
Fattahi11;parallel;MMASV1;294;611,77;736;104,48;8;19,93;49;8,76
Fattahi11;iterative;RBASV1;541;637,37;711;50,92;20;64,13;185;43,61
Fattahi11;iterative;MMASV1;316;633,43;782;86,16;13;33,97;82;16,01
Fattahi11;parallel;RBASV1;471;631,23;760;70,50;20;77,77;219;55,69
Fattahi11;iterative;ACSV1;407;598,97;697;64,78;17;46,77;123;25,18
Fattahi11;parallel;ASV1;427;661,03;765;72,81;25;73,43;173;44,83
Fattahi11;parallel;ACSV1;518;598,73;671;44,93;11;25,67;53;9,29
Fattahi11;iterative;EASV1;471;636,73;743;55,63;26;75,20;226;56,85
Fattahi11;iterative;ASV1;511;626,33;738;59,80;29;67,03;158;37,26
Fattahi12;iterative;ACSV1;420;598,13;731;78,81;20;51,07;124;28,45
