Instance;Approach;Solver;Makespan (min);Makespan (avg);Makespan (max);Makespan (std);CPU TIME(ms) (min);CPU TIME(ms) (avg);CPU TIME(ms) (max);CPU TIME(ms) (std)
Fattahi1;iterative;greedy;135;135,00;135;0,00;0;0,00;0;0,00
Fattahi1;parallel;ACSV0;86;86,00;86;0,00;4;6,23;30;4,70
Fattahi1;iterative;ACSV0;86;86,00;86;0,00;6;9,23;28;4,17
Fattahi10;iterative;greedy;608;608,00;608;0,00;0;0,00;0;0,00
Fattahi10;iterative;ACSV0;692;692,00;692;0,00;35;59,37;133;23,88
Fattahi10;parallel;ACSV0;685;691,77;692;1,28;19;32,63;52;7,41
Fattahi11;parallel;ACSV0;469;582,93;677;55,75;23;82,97;188;40,43
Fattahi11;iterative;ACSV0;531;608,00;705;46,14;59;151,33;335;61,71
Fattahi11;iterative;greedy;783;783,00;783;0,00;0;0,00;0;0,00
Fattahi12;iterative;ACSV0;522;599,10;704;46,53;88;191,93;518;93,59
Fattahi12;iterative;greedy;630;630,00;630;0,00;0;0,00;0;0,00
Fattahi12;parallel;ACSV0;522;607,50;725;53,00;34;77,80;161;33,75
Fattahi13;parallel;ACSV0;653;736,40;835;41,33;39;107,90;205;50,09
Fattahi13;iterative;ACSV0;655;745,87;823;39,10;126;254,80;499;106,70
Fattahi13;iterative;greedy;891;891,00;891;0,00;0;0,00;0;0,00
Fattahi14;parallel;ACSV0;732;879,20;951;59,63;52;112,50;342;64,61
Fattahi14;iterative;ACSV0;745;877,73;1013;66,05;171;357,37;774;142,06
Fattahi14;iterative;greedy;889;889,00;889;0,00;0;0,00;0;0,00
Fattahi15;iterative;greedy;875;875,00;875;0,00;0;0,00;0;0,00
Fattahi15;parallel;ACSV0;760;879,03;952;46,60;54;119,47;208;42,41
Fattahi15;iterative;ACSV0;763;876,40;1037;66,48;175;314,40;535;109,41
Fattahi16;parallel;ACSV0;828;1027,43;1158;79,81;68;145,60;288;63,66
Fattahi16;iterative;ACSV0;845;1014,23;1206;87,34;265;495,40;904;157,55
Fattahi16;iterative;greedy;1294;1294,00;1294;0,00;0;0,00;0;0,00
Fattahi17;iterative;ACSV0;1373;1509,03;1653;88,22;374;650,33;1475;298,38
Fattahi17;iterative;greedy;1746;1746,00;1746;0,00;0;0,00;0;0,00
Fattahi17;parallel;ACSV0;1284;1487,73;1716;105,45;108;214,20;605;112,49
Fattahi18;iterative;greedy;1953;1953,00;1953;0,00;0;0,00;0;0,00
Fattahi18;parallel;ACSV0;1443;1583,60;1789;85,48;163;318,27;584;124,71
Fattahi18;iterative;ACSV0;1300;1543,27;1726;99,20;573;1117,97;2287;474,11
Fattahi19;iterative;greedy;1990;1990,00;1990;0,00;0;0,00;0;0,00
Fattahi19;iterative;ACSV0;1821;1999,47;2186;97,86;954;1622,47;2819;526,81
Fattahi19;parallel;ACSV0;1786;1975,47;2156;99,40;240;445,13;868;159,00
Fattahi2;parallel;ACSV0;107;107,00;107;0,00;4;5,53;28;4,34
Fattahi2;iterative;ACSV0;107;107,00;107;0,00;5;6,33;25;3,62
Fattahi2;iterative;greedy;135;135,00;135;0,00;0;0,00;0;0,00
Fattahi20;iterative;greedy;1990;1990,00;1990;0,00;0;0,00;0;0,00
Fattahi20;parallel;ACSV0;2057;2352,47;2738;149,20;327;562,20;1245;217,39
Fattahi20;iterative;ACSV0;2030;2383,70;2807;174,86;1200;1882,67;3661;569,75
Fattahi3;iterative;ACSV0;221;229,00;261;12,70;11;19,53;33;6,43
Fattahi3;iterative;greedy;316;316,00;316;0,00;0;0,00;0;0,00
Fattahi3;parallel;ACSV0;221;229,63;261;13,51;6;9,87;35;5,32
Fattahi4;iterative;greedy;421;421,00;421;0,00;0;0,00;0;0,00
Fattahi4;iterative;ACSV0;367;367,97;396;5,29;10;16,13;37;5,71
Fattahi4;parallel;ACSV0;367;367,97;396;5,29;6;9,77;35;5,18
Fattahi5;iterative;ACSV0;128;134,13;143;6,28;14;36,87;61;12,60
Fattahi5;parallel;ACSV0;128;133,90;143;6,50;9;14,57;42;6,04
Fattahi5;iterative;greedy;119;119,00;119;0,00;0;0,00;0;0,00
Fattahi6;iterative;ACSV0;320;331,10;367;14,74;14;37,97;73;18,84
Fattahi6;parallel;ACSV0;320;329,40;367;14,07;11;17,50;47;6,95
Fattahi6;iterative;greedy;560;560,00;560;0,00;0;0,00;0;0,00
Fattahi7;iterative;greedy;470;470,00;470;0,00;0;0,00;0;0,00
Fattahi7;iterative;ACSV0;397;408,70;451;22,06;18;50,60;108;21,05
Fattahi7;parallel;ACSV0;397;419,33;462;27,94;13;25,00;43;7,25
Fattahi8;iterative;greedy;487;487,00;487;0,00;0;0,00;0;0,00
Fattahi8;iterative;ACSV0;267;274,80;283;4,85;18;42,73;81;19,48
Fattahi8;parallel;ACSV0;267;274,50;283;4,42;12;21,90;53;8,33
Fattahi9;iterative;greedy;277;277,00;277;0,00;0;0,00;0;0,00
Fattahi9;parallel;ACSV0;220;233,10;257;9,67;13;20,93;43;6,86
Fattahi9;iterative;ACSV0;220;232,97;257;10,47;18;44,13;87;16,78
