Instance;Approach;Solver;Makespan (min);Makespan (avg);Makespan (max);Makespan (std);CPU TIME(ms) (min);CPU TIME(ms) (avg);CPU TIME(ms) (max);CPU TIME(ms) (std)
DPpaulli10a;parallel;RBASV3;4108;4276,70;4457;74,04;209;397,40;1158;199,37
DPpaulli10a;parallel;ASV3;4015;4286,73;4473;97,50;230;421,10;931;157,06
DPpaulli10a;iterative;EASV3;4161;4334,40;4515;109,37;575;1059,77;1922;380,49
DPpaulli10a;parallel;EASV3;4091;4308,17;4477;92,06;204;404,27;1164;195,70
DPpaulli10a;iterative;ACSV3;4363;4666,87;4959;153,62;363;394,87;934;102,69
DPpaulli10a;parallel;MMASV3;4161;4364,70;4582;104,42;171;324,73;630;126,89
DPpaulli10a;parallel;ACSV3;4110;4723,97;5104;232,39;90;135,50;453;94,58
DPpaulli10a;iterative;MMASV3;4182;4367,47;4529;84,58;521;895,43;1775;276,08
DPpaulli10a;iterative;ASV3;4116;4319,70;4432;78,21;572;1042,23;2017;379,15
DPpaulli10a;iterative;RBASV3;4139;4285,33;4381;71,13;602;1112,83;2355;434,18
DPpaulli10a;iterative;greedy;7599;7599,00;7599;0,00;1;1,13;2;0,35
DPpaulli11a;iterative;ACSV3;4214;4629,97;4983;158,16;446;502,70;1012;102,08
DPpaulli11a;iterative;MMASV3;4151;4385,47;4625;114,46;620;1072,33;1588;286,72
DPpaulli11a;iterative;RBASV3;3916;4105,37;4349;107,78;786;1449,70;2280;448,96
DPpaulli11a;parallel;ACSV3;4546;4825,07;5084;148,23;111;154,67;416;81,34
DPpaulli11a;parallel;ASV3;3748;4141,17;4286;126,64;259;482,10;1122;194,23
DPpaulli11a;iterative;greedy;6596;6596,00;6596;0,00;1;1,33;3;0,55
DPpaulli11a;iterative;EASV3;3959;4123,17;4259;88,40;822;1328,40;2401;357,46
DPpaulli11a;iterative;ASV3;3728;4094,33;4250;107,18;781;1320,60;2810;424,64
DPpaulli11a;parallel;MMASV3;4218;4430,20;4614;103,82;198;395,33;1613;275,60
DPpaulli11a;parallel;RBASV3;3798;4134,10;4319;108,70;257;538,83;1167;230,64
DPpaulli11a;parallel;EASV3;3833;4127,93;4387;110,83;251;529,90;1815;293,40
DPpaulli12a;parallel;EASV3;3821;4093,93;4315;125,36;328;554,13;1034;180,89
DPpaulli12a;parallel;MMASV3;4065;4300,57;4494;111,75;259;463,90;1585;250,80
DPpaulli12a;iterative;MMASV3;4204;4337,53;4510;92,60;812;1241,60;2399;402,41
DPpaulli12a;parallel;RBASV3;3861;4086,83;4327;122,05;337;639,27;1513;248,06
DPpaulli12a;iterative;greedy;7405;7405,00;7405;0,00;2;2,33;4;0,55
DPpaulli12a;iterative;ACSV3;4213;4530,13;4785;150,32;601;647,77;1182;108,15
DPpaulli12a;iterative;RBASV3;3857;4138,07;4266;99,76;1005;1751,83;3333;656,31
DPpaulli12a;parallel;ACSV3;4089;4653,20;4957;197,18;149;189,03;464;82,51
DPpaulli12a;iterative;ASV3;3875;4055,93;4264;79,71;1093;2067,73;3407;663,31
DPpaulli12a;iterative;EASV3;3858;4079,53;4262;91,69;1080;1843,33;2728;505,47
DPpaulli12a;parallel;ASV3;3894;4100,43;4299;105,20;352;657,53;1195;231,51
DPpaulli13a;parallel;ACSV3;4808;5169,00;5499;170,46;142;186,13;465;98,86
DPpaulli13a;parallel;RBASV3;4293;4603,47;4840;131,21;384;767,40;1392;275,83
DPpaulli13a;iterative;EASV3;4297;4590,23;4821;101,17;1254;2265,33;3973;700,22
DPpaulli13a;parallel;EASV3;4430;4599,30;4750;85,85;465;834,27;1204;241,64
DPpaulli13a;parallel;MMASV3;4569;4729,23;4882;84,76;371;727,47;1534;342,97
DPpaulli13a;parallel;ASV3;4367;4624,47;4801;98,62;424;751,90;1563;262,46
DPpaulli13a;iterative;ACSV3;4603;5080,87;5475;174,81;610;656,20;1211;110,65
DPpaulli13a;iterative;greedy;7483;7483,00;7483;0,00;2;2,17;4;0,46
DPpaulli13a;iterative;ASV3;4382;4579,17;4762;82,34;1365;2195,23;4915;772,54
DPpaulli13a;iterative;RBASV3;4361;4574,93;4735;111,18;1335;2265,93;3778;760,50
DPpaulli13a;iterative;MMASV3;4460;4740,00;4956;130,19;1107;1583,87;3042;535,48
DPpaulli14a;parallel;EASV3;4437;4607,10;4842;94,06;630;1070,90;1919;341,96
DPpaulli14a;parallel;RBASV3;4273;4558,10;4746;115,59;578;1054,90;1709;335,45
DPpaulli14a;parallel;MMASV3;4488;4829,33;5088;148,52;459;730,57;1603;272,47
DPpaulli14a;iterative;greedy;8132;8132,00;8132;0,00;3;3,30;5;0,53
DPpaulli14a;iterative;MMASV3;4658;4863,13;5008;95,26;1497;2444,83;4653;846,50
DPpaulli14a;iterative;ACSV3;4574;5179,63;5428;181,09;845;943,03;1522;121,53
DPpaulli14a;iterative;EASV3;4346;4552,80;4820;107,62;1878;3315,07;5699;1122,74
DPpaulli14a;parallel;ACSV3;4788;5297,60;5812;202,54;209;252,53;637;99,66
DPpaulli14a;parallel;ASV3;4414;4563,87;4791;90,52;631;1097,83;2051;389,62
DPpaulli14a;iterative;ASV3;4408;4569,17;4781;91,54;2067;3712,03;7394;1335,96
DPpaulli14a;iterative;RBASV3;4330;4541,97;4730;98,19;1851;3442,17;6780;1293,19
DPpaulli15a;parallel;MMASV3;4544;4742,77;4900;94,94;644;1264,43;2831;499,17
DPpaulli15a;iterative;greedy;10072;10072,00;10072;0,00;3;5,27;9;1,08
DPpaulli15a;iterative;ACSV3;4804;5118,27;5368;125,42;1088;1174,47;1698;118,60
DPpaulli15a;parallel;RBASV3;4295;4552,73;4784;107,77;707;1249,13;2436;463,54
DPpaulli15a;parallel;ASV3;4387;4605,53;4758;96,42;765;1562,03;2960;552,71
DPpaulli15a;iterative;MMASV3;4529;4739,93;4972;120,17;2074;4132,77;7454;1237,16
DPpaulli15a;iterative;ASV3;4430;4615,27;4766;69,66;2650;3987,53;7088;1213,94
DPpaulli15a;parallel;ACSV3;4912;5227,53;5535;161,15;294;331,40;745;100,51
DPpaulli15a;iterative;RBASV3;4400;4571,73;4826;105,52;2728;4828,30;7856;1260,54
DPpaulli15a;iterative;EASV3;4413;4600,43;4807;100,05;2672;4411,60;7593;1362,48
DPpaulli15a;parallel;EASV3;4435;4603,40;4750;100,51;814;1431,23;3001;506,99
DPpaulli16a;iterative;ASV3;4311;4508,83;4663;107,42;1372;2246,07;4889;785,72
DPpaulli16a;parallel;ACSV3;4628;5064,70;5534;209,49;142;191,27;542;111,26
DPpaulli16a;parallel;RBASV3;4243;4510,07;4670;94,70;420;766,83;1269;261,38
DPpaulli16a;iterative;greedy;6867;6867,00;6867;0,00;2;2,17;4;0,46
DPpaulli16a;parallel;ASV3;4265;4494,23;4714;106,95;452;791,50;1444;252,33
DPpaulli16a;parallel;EASV3;4346;4492,00;4648;84,37;471;873,30;1724;314,21
DPpaulli16a;parallel;MMASV3;4431;4671,17;4866;114,06;347;577,93;1291;261,78
DPpaulli16a;iterative;RBASV3;4245;4511,33;4741;124,65;1230;2334,27;4216;804,03
DPpaulli16a;iterative;ACSV3;4640;5006,27;5202;139,65;595;637,10;1080;89,77
DPpaulli16a;iterative;MMASV3;4466;4642,93;4766;81,31;1132;2223,37;4450;733,15
DPpaulli16a;iterative;EASV3;4330;4527,97;4806;99,30;1284;2536,23;4979;970,27
DPpaulli17a;iterative;ACSV3;4656;5022,37;5258;134,92;841;926,17;1440;106,21
DPpaulli17a;parallel;EASV3;4270;4455,70;4669;104,78;628;1060,80;2216;364,75
DPpaulli17a;parallel;MMASV3;4572;4777,13;4993;91,90;466;876,30;1630;311,64
DPpaulli17a;iterative;RBASV3;4197;4435,23;4821;138,69;1850;3418,30;6328;1095,12
DPpaulli17a;parallel;ASV3;4250;4426,30;4637;92,23;661;1108,57;1981;326,55
DPpaulli17a;iterative;MMASV3;4529;4759,03;4938;103,53;1526;2723,83;5828;990,00
DPpaulli17a;parallel;RBASV3;4223;4457,27;4625;94,18;574;1090,67;1832;373,38
DPpaulli17a;iterative;EASV3;4317;4503,30;4686;95,89;1967;3262,77;5856;848,40
DPpaulli17a;iterative;ASV3;4263;4463,20;4640;90,06;1865;3166,83;5527;939,65
DPpaulli17a;parallel;ACSV3;4752;5161,43;5452;176,77;215;254,77;660;101,87
DPpaulli17a;iterative;greedy;7670;7670,00;7670;0,00;3;3,27;5;0,52
DPpaulli18a;iterative;RBASV3;4250;4481,13;4704;113,80;2665;4747,03;9286;1854,53
DPpaulli18a;iterative;greedy;9036;9036,00;9036;0,00;4;5,07;9;1,01
DPpaulli18a;parallel;ACSV3;4658;5046,97;5412;168,61;290;330,77;785;119,26
DPpaulli18a;parallel;ASV3;4227;4456,23;4652;100,05;753;1513,87;2957;584,45
DPpaulli18a;iterative;ACSV3;4551;4959,50;5295;188,84;1093;1161,47;1652;106,78
DPpaulli18a;parallel;MMASV3;4272;4650,37;4868;124,92;623;1111,87;2432;470,89
DPpaulli18a;iterative;ASV3;4270;4458,90;4610;84,25;2333;4649,03;8268;1566,74
DPpaulli18a;parallel;EASV3;4201;4449,93;4636;112,64;768;1435,00;3000;469,24
DPpaulli18a;parallel;RBASV3;4269;4486,70;4731;104,54;780;1403,53;2542;538,22
DPpaulli18a;iterative;EASV3;4194;4445,63;4657;107,07;2509;4462,17;7619;1223,19
DPpaulli18a;iterative;MMASV3;4475;4669,70;4793;84,84;2093;3614,10;8433;1390,08
DPpaulli1a;iterative;MMASV3;3881;4084,80;4271;99,99;179;389,90;1252;197,83
DPpaulli1a;iterative;greedy;6302;6302,00;6302;0,00;0;0,03;1;0,18
DPpaulli1a;iterative;ASV3;3725;4053,47;4209;117,28;208;366,33;987;151,21
DPpaulli1a;parallel;EASV3;3713;4051,57;4234;119,63;73;150,70;414;97,21
DPpaulli1a;parallel;ACSV3;4136;4433,27;4626;126,87;48;92,30;261;53,68
DPpaulli1a;iterative;EASV3;3811;4058,63;4255;104,31;194;350,93;1064;183,89
DPpaulli1a;iterative;ACSV3;4223;4351,23;4493;92,89;179;223,03;673;105,12
DPpaulli1a;parallel;RBASV3;3783;4064,10;4349;119,19;73;164,07;696;122,16
DPpaulli1a;parallel;MMASV3;3857;4106,67;4223;82,51;56;127,63;545;107,03
DPpaulli1a;iterative;RBASV3;3915;4088,60;4263;91,77;191;384,03;761;136,65
DPpaulli1a;parallel;ASV3;3907;4095,97;4201;78,15;62;141,93;591;139,91
DPpaulli2a;iterative;MMASV3;3758;3953,97;4182;99,34;197;356,37;1112;173,47
DPpaulli2a;parallel;EASV3;3672;3879,67;4057;96,21;71;165,10;882;172,09
DPpaulli2a;iterative;ASV3;3584;3870,13;3989;94,79;210;402,43;1050;165,93
DPpaulli2a;parallel;ACSV3;3981;4252,07;4515;124,07;54;98,50;178;46,95
DPpaulli2a;iterative;EASV3;3709;3892,97;4113;101,50;211;402,53;1279;202,42
DPpaulli2a;parallel;ASV3;3514;3910,17;4097;111,86;72;153,30;646;136,10
DPpaulli2a;iterative;ACSV3;3972;4231,50;4499;154,70;201;245,57;580;90,50
DPpaulli2a;parallel;RBASV3;3608;3899,70;4136;125,18;73;168,97;521;109,56
DPpaulli2a;iterative;RBASV3;3721;3894,20;4142;103,02;207;394,70;1001;187,80
DPpaulli2a;parallel;MMASV3;3739;3975,40;4139;101,65;62;165,87;381;82,30
DPpaulli2a;iterative;greedy;5701;5701,00;5701;0,00;0;0,27;1;0,45
DPpaulli3a;parallel;ASV3;3757;3916,33;4095;88,19;84;185,40;806;165,07
DPpaulli3a;parallel;EASV3;3769;3974,50;4184;89,50;91;179,50;695;138,92
DPpaulli3a;iterative;ASV3;3702;3920,53;4147;102,02;285;484,63;1395;214,90
DPpaulli3a;parallel;RBASV3;3520;3907,67;4115;116,88;91;206,03;806;153,67
DPpaulli3a;parallel;ACSV3;3838;4368,40;4686;185,23;59;105,80;263;56,93
DPpaulli3a;parallel;MMASV3;3851;4123,57;4338;113,88;69;160,97;1022;173,17
DPpaulli3a;iterative;MMASV3;3778;4100,70;4308;150,78;219;472,83;1127;203,36
DPpaulli3a;iterative;RBASV3;3707;3917,73;4088;80,33;271;538,87;1315;210,66
DPpaulli3a;iterative;ACSV3;4001;4337,70;4575;146,96;230;284,93;811;108,98
DPpaulli3a;iterative;greedy;6379;6379,00;6379;0,00;0;0,73;2;0,52
DPpaulli3a;iterative;EASV3;3778;3968,97;4161;114,93;279;481,20;940;157,02
DPpaulli4a;parallel;RBASV3;3806;3998,23;4153;92,23;65;162,97;482;89,63
DPpaulli4a;parallel;ACSV3;4049;4294,53;4646;152,93;49;88,63;203;44,89
DPpaulli4a;parallel;EASV3;3784;3970,73;4214;95,97;63;159,33;713;138,92
DPpaulli4a;iterative;ASV3;3768;4039,27;4205;85,62;189;369,63;781;155,07
DPpaulli4a;iterative;RBASV3;3587;3990,90;4242;126,10;193;402,87;1058;210,95
DPpaulli4a;iterative;ACSV3;3902;4289,20;4459;118,32;177;216,40;582;89,50
DPpaulli4a;parallel;ASV3;3841;4021,33;4167;77,51;66;143,67;601;113,61
DPpaulli4a;parallel;MMASV3;3666;4062,47;4196;105,79;61;168,17;938;184,45
DPpaulli4a;iterative;EASV3;3768;3988,53;4215;100,64;192;344,33;846;142,28
DPpaulli4a;iterative;greedy;5350;5350,00;5350;0,00;0;0,03;1;0,18
DPpaulli4a;iterative;MMASV3;3785;4026,83;4246;122,76;178;344,77;777;156,91
DPpaulli5a;iterative;EASV3;3677;3854,90;4074;91,81;208;382,00;1229;200,74
DPpaulli5a;parallel;MMASV3;3626;3856,40;4045;98,64;62;146,40;362;70,15
DPpaulli5a;iterative;ACSV3;3876;4134,17;4392;152,20;206;245,23;642;87,20
DPpaulli5a;parallel;RBASV3;3524;3836,97;4076;104,37;71;169,93;520;104,34
DPpaulli5a;parallel;EASV3;3598;3815,83;3994;114,60;70;156,03;700;126,84
DPpaulli5a;parallel;ASV3;3663;3831,53;3956;84,02;71;150,17;573;99,97
DPpaulli5a;iterative;RBASV3;3630;3841,20;3984;91,19;214;363,30;1227;190,17
DPpaulli5a;iterative;MMASV3;3750;3922,70;4064;89,60;197;362,23;1041;173,92
DPpaulli5a;parallel;ACSV3;3837;4222,33;4605;171,37;54;104,60;231;53,97
