Instance;Approach;Solver;Makespan (min);Makespan (avg);Makespan (max);Makespan (std);CPU TIME(ms) (min);CPU TIME(ms) (avg);CPU TIME(ms) (max);CPU TIME(ms) (std)
Ribeiro1;parallel;ACSV2;200490;200490,00;200490;0,00;15;18,63;35;3,37
Ribeiro1;parallel;RBASV2;200490;200490,00;200490;0,00;12;31,50;68;15,32
Ribeiro1;parallel;ASV2;200490;200490,00;200490;0,00;20;24,13;40;3,48
Ribeiro1;iterative;MMASV2;200490;200490,00;200490;0,00;16;31,70;55;11,57
Ribeiro1;parallel;MMASV2;200490;200490,00;200490;0,00;29;32,53;54;4,66
Ribeiro1;parallel;EASV2;200490;200490,00;200490;0,00;20;23,40;42;3,99
Ribeiro1;iterative;EASV2;200490;200490,00;200490;0,00;26;30,00;46;3,98
Ribeiro1;iterative;ACSV2;200490;200490,00;200490;0,00;19;40,57;50;8,90
Ribeiro1;iterative;ASV2;200490;200490,00;200490;0,00;24;28,03;38;2,81
Ribeiro1;iterative;greedy;241513;241513,00;241513;0,00;0;0,00;0;0,00
Ribeiro1;iterative;RBASV2;200490;200490,00;200490;0,00;8;37,40;63;17,54
Ribeiro2;parallel;MMASV2;2503043;2574183,47;2632706;30770,93;20776;42672,53;95084;17622,90
Ribeiro2;iterative;EASV2;2411581;2497520,77;2566572;39491,84;78342;173730,00;281336;54567,00
Ribeiro2;iterative;ACSV2;2593907;2719124,33;2909758;69945,26;5069;5639,60;6696;443,97
Ribeiro2;parallel;ACSV2;2588306;2683995,27;2791151;54960,33;1760;2030,03;2466;192,61
Ribeiro2;iterative;MMASV2;2510223;2581370,93;2626514;30406,47;61368;107102,30;232577;45536,23
Ribeiro2;parallel;EASV2;2400201;2486291,83;2569649;40938,08;49104;101866,40;160142;24906,05
Ribeiro2;parallel;ASV2;2495798;2569263,87;2600980;24702,81;43838;56520,00;69058;6182,31
Ribeiro2;iterative;RBASV2;2437825;2484488,60;2515294;21829,48;69098;145458,67;245629;47182,61
Ribeiro2;iterative;greedy;3649182;3649182,00;3649182;0,00;12;18,87;41;8,99
Ribeiro2;iterative;ASV2;2504431;2564458,83;2619491;30842,91;85324;101380,57;127945;12335,94
Ribeiro2;parallel;RBASV2;2435280;2492144,50;2538083;28166,70;27935;62919,90;97842;22785,68
Ribeiro3;parallel;EASV2;695253;721115,30;725344;6967,68;51067;62558,47;138402;19721,90
Ribeiro3;iterative;MMASV2;683686;716220,23;725344;10618,36;96223;133995,53;229344;40384,34
Ribeiro3;parallel;MMASV2;698008;719113,97;725344;7900,70;33994;44154,10;107439;16321,04
Ribeiro3;iterative;greedy;730987;730987,00;730987;0,00;12;18,60;36;8,43
Ribeiro3;iterative;RBASV2;695968;718872,20;725344;9021,62;126163;164237,77;321056;59700,05
Ribeiro3;iterative;ACSV2;725344;725448,37;728200;522,12;6330;8573,10;18152;2934,73
Ribeiro3;parallel;ACSV2;725041;725913,10;733559;1724,47;2244;2974,60;7114;1031,75
Ribeiro3;iterative;EASV2;695253;719310,43;725344;7609,76;135717;173741,07;379382;61463,48
Ribeiro3;parallel;ASV2;695253;721445,70;725344;8863,16;52179;59949,80;95081;13412,98
Ribeiro3;iterative;ASV2;695253;722868,63;725344;6090,97;139255;155988,93;279153;37977,25
Ribeiro3;parallel;RBASV2;703861;719787,40;725344;6417,70;45070;60719,83;121234;21603,13
