Instance;Approach;Solver;Makespan (min);Makespan (avg);Makespan (max);Makespan (std);CPU TIME(ms) (min);CPU TIME(ms) (avg);CPU TIME(ms) (max);CPU TIME(ms) (std)
HurinkSdata1;iterative;ACSV2;67;74,17;82;4,49;12;39,83;66;12,49
HurinkSdata1;parallel;RBASV2;62;69,60;76;3,53;27;61,77;179;29,89
HurinkSdata1;parallel;MMASV2;63;69,53;76;3,61;10;43,17;100;25,34
HurinkSdata1;iterative;greedy;103;103,00;103;0,00;0;0,00;0;0,00
HurinkSdata1;parallel;ACSV2;68;75,13;83;3,84;12;17,00;38;5,09
HurinkSdata10;iterative;ACSV2;1098;1208,73;1308;48,25;36;73,40;244;47,57
HurinkSdata10;parallel;ACSV2;1122;1226,50;1340;60,00;29;39,77;64;8,23
HurinkSdata10;parallel;MMASV2;1077;1145,80;1212;27,92;26;75,13;208;38,89
HurinkSdata10;parallel;RBASV2;1043;1131,17;1204;36,60;30;93,60;582;120,01
HurinkSdata10;iterative;greedy;1425;1425,00;1425;0,00;0;0,00;0;0,00
HurinkSdata11;iterative;ACSV2;1160;1295,50;1454;66,90;35;70,13;175;42,24
HurinkSdata11;parallel;RBASV2;1122;1202,33;1295;39,53;29;87,40;298;59,14
HurinkSdata11;parallel;ACSV2;1139;1311,67;1442;63,88;28;38,43;67;8,58
HurinkSdata11;iterative;greedy;1793;1793,00;1793;0,00;0;0,00;0;0,00
HurinkSdata11;parallel;MMASV2;1083;1193,73;1267;43,84;24;90,13;368;70,23
HurinkSdata12;iterative;ACSV2;1168;1347,93;1446;63,56;36;67,37;168;38,07
HurinkSdata12;parallel;ACSV2;1240;1376,13;1511;69,14;27;38,17;53;5,45
HurinkSdata12;parallel;RBASV2;1129;1222,87;1266;33,85;27;90,33;430;95,30
HurinkSdata12;iterative;greedy;1759;1759,00;1759;0,00;0;0,03;1;0,18
HurinkSdata12;parallel;MMASV2;1103;1205,10;1283;47,76;24;87,80;386;68,12
HurinkSdata13;parallel;ACSV2;1279;1411,50;1525;56,14;29;38,23;60;6,50
HurinkSdata13;iterative;greedy;1985;1985,00;1985;0,00;0;0,00;0;0,00
HurinkSdata13;parallel;MMASV2;1137;1259,63;1351;47,85;23;83,70;297;58,95
HurinkSdata13;parallel;RBASV2;1128;1258,70;1380;51,41;27;105,83;401;101,67
HurinkSdata13;iterative;ACSV2;1259;1383,23;1516;66,47;36;68,87;181;43,82
HurinkSdata14;parallel;MMASV2;1483;1564,60;1645;38,52;50;136,40;549;114,16
HurinkSdata14;iterative;ACSV2;1493;1700,80;1868;86,99;58;91,70;278;58,65
HurinkSdata14;iterative;greedy;2704;2704,00;2704;0,00;0;0,03;1;0,18
HurinkSdata14;parallel;RBASV2;1456;1551,23;1630;40,55;55;132,57;335;68,76
HurinkSdata14;parallel;ACSV2;1621;1757,87;1878;75,80;47;56,33;80;7,53
HurinkSdata15;iterative;ACSV2;1387;1513,80;1622;61,61;58;91,57;233;56,82
HurinkSdata15;parallel;RBASV2;1284;1371,17;1485;49,30;61;139,03;351;73,28
HurinkSdata15;parallel;ACSV2;1404;1544,73;1664;56,51;47;58,73;82;8,40
HurinkSdata15;iterative;greedy;2059;2059,00;2059;0,00;0;0,03;1;0,18
HurinkSdata15;parallel;MMASV2;1267;1368,67;1469;48,68;58;153,30;367;88,86
HurinkSdata16;parallel;MMASV2;1396;1526,30;1595;48,34;49;114,60;421;78,58
HurinkSdata16;parallel;RBASV2;1334;1502,33;1605;63,03;54;146,77;529;114,77
HurinkSdata16;iterative;ACSV2;1567;1667,53;1757;58,93;58;91,03;277;58,31
HurinkSdata16;parallel;ACSV2;1562;1671,07;1777;55,38;46;55,43;70;5,97
HurinkSdata16;iterative;greedy;2368;2368,00;2368;0,00;0;0,03;1;0,18
HurinkSdata17;parallel;RBASV2;1458;1569,70;1643;46,49;54;137,10;376;87,71
HurinkSdata17;iterative;ACSV2;1623;1718,43;1928;69,16;59;93,77;227;53,78
HurinkSdata17;iterative;greedy;2126;2126,00;2126;0,00;0;0,03;1;0,18
HurinkSdata17;parallel;ACSV2;1559;1769,27;1871;72,98;46;56,97;81;8,11
HurinkSdata17;parallel;MMASV2;1434;1567,00;1673;53,81;54;136,00;340;76,02
HurinkSdata18;iterative;ACSV2;1620;1782,57;1903;69,44;59;94,80;294;59,80
HurinkSdata18;parallel;MMASV2;1526;1624,37;1702;44,36;53;126,27;533;96,53
