Instance;Approach;Solver;Makespan (min);Makespan (avg);Makespan (max);Makespan (std);CPU TIME(ms) (min);CPU TIME(ms) (avg);CPU TIME(ms) (max);CPU TIME(ms) (std)
HurinkVdata10;iterative;ACSV2;1076;1153,83;1288;46,10;63;116,43;477;78,06
HurinkVdata10;parallel;ACSV2;1083;1174,60;1248;46,69;42;60,07;102;11,59
HurinkVdata10;parallel;MMASV2;1016;1086,70;1137;25,97;35;106,60;537;111,57
HurinkVdata10;parallel;RBASV2;992;1058,63;1146;40,80;49;113,57;509;102,75
HurinkVdata10;iterative;greedy;1453;1453,00;1453;0,00;0;0,00;0;0,00
HurinkVdata11;iterative;ACSV2;1071;1257,50;1376;59,43;65;107,77;336;63,10
HurinkVdata11;parallel;RBASV2;984;1146,10;1236;53,02;45;124,00;566;121,16
HurinkVdata11;parallel;MMASV2;1029;1171,10;1255;45,91;36;96,60;361;59,58
HurinkVdata11;parallel;ACSV2;1133;1267,93;1363;65,08;43;69,37;120;18,14
HurinkVdata11;iterative;greedy;2076;2076,00;2076;0,00;0;0,00;0;0,00
HurinkVdata12;parallel;MMASV2;1138;1224,57;1288;40,67;35;113,80;386;91,62
HurinkVdata12;iterative;greedy;1957;1957,00;1957;0,00;0;0,03;1;0,18
HurinkVdata12;parallel;RBASV2;1142;1217,13;1275;36,81;40;121,63;804;146,48
HurinkVdata12;iterative;ACSV2;1186;1305,83;1411;53,95;62;106,83;340;64,36
HurinkVdata12;parallel;ACSV2;1158;1343,83;1447;69,43;32;49,83;106;16,18
HurinkVdata13;parallel;ACSV2;1177;1338,63;1468;63,99;31;58,43;88;13,39
HurinkVdata13;parallel;RBASV2;1125;1205,77;1306;42,25;39;119,83;433;100,81
HurinkVdata13;parallel;MMASV2;1053;1209,20;1271;42,26;37;99,57;324;78,18
HurinkVdata13;iterative;ACSV2;1176;1324,63;1425;52,52;64;102,03;399;67,45
HurinkVdata13;iterative;greedy;2029;2029,00;2029;0,00;0;0,00;0;0,00
HurinkVdata14;iterative;greedy;2384;2384,00;2384;0,00;0;0,47;1;0,51
HurinkVdata14;iterative;ACSV2;1561;1683,97;1765;48,22;105;150,00;355;64,49
HurinkVdata14;parallel;ACSV2;1534;1692,73;1803;77,27;36;78,37;149;28,03
HurinkVdata14;parallel;RBASV2;1357;1500,57;1620;62,78;81;189,90;798;152,95
HurinkVdata14;parallel;MMASV2;1441;1536,27;1618;46,73;80;164,67;812;133,42
HurinkVdata15;iterative;greedy;2078;2078,00;2078;0,00;0;0,47;1;0,51
HurinkVdata15;parallel;MMASV2;1250;1334,57;1411;42,54;72;168,53;412;98,61
HurinkVdata15;parallel;ACSV2;1333;1472,57;1573;63,52;40;84,57;145;29,52
HurinkVdata15;parallel;RBASV2;1243;1323,47;1390;34,66;82;193,87;487;91,23
HurinkVdata15;iterative;ACSV2;1284;1464,27;1570;63,99;104;158,87;525;81,78
HurinkVdata16;parallel;RBASV2;1415;1486,03;1554;40,06;86;191,13;560;106,85
HurinkVdata16;iterative;greedy;2023;2023,00;2023;0,00;0;0,43;1;0,50
HurinkVdata16;iterative;ACSV2;1500;1672,33;1769;58,85;102;144,87;425;69,71
HurinkVdata16;parallel;ACSV2;1512;1701,27;1847;70,57;36;73,97;159;29,29
HurinkVdata16;parallel;MMASV2;1397;1522,83;1581;43,06;73;187,33;894;143,62
HurinkVdata17;parallel;RBASV2;1432;1517,77;1585;41,30;87;192,23;1062;177,64
HurinkVdata17;iterative;ACSV2;1564;1705,60;1807;61,02;105;146,30;394;66,43
HurinkVdata17;parallel;ACSV2;1544;1726,27;1995;95,86;36;81,83;151;26,95
HurinkVdata17;parallel;MMASV2;1399;1544,93;1645;57,74;72;193,83;571;112,50
HurinkVdata17;iterative;greedy;2125;2125,00;2125;0,00;0;0,63;1;0,49
HurinkVdata18;parallel;ACSV2;1567;1729,63;1881;67,04;36;77,30;139;26,06
HurinkVdata18;iterative;greedy;2467;2467,00;2467;0,00;0;0,60;1;0,50
HurinkVdata18;iterative;ACSV2;1489;1681,90;1803;68,56;110;160,33;501;79,68
HurinkVdata18;parallel;RBASV2;1411;1510,87;1613;51,49;81;189,70;780;141,84
HurinkVdata18;parallel;MMASV2;1461;1561,00;1640;43,11;78;186,13;659;135,52
HurinkVdata19;iterative;ACSV2;1195;1444,23;1557;72,54;100;142,97;356;64,30
HurinkVdata19;parallel;ACSV2;1243;1448,80;1629;102,23;47;78,47;131;21,86
HurinkVdata19;parallel;RBASV2;1217;1319,30;1413;56,02;55;131,93;607;120,41
HurinkVdata19;iterative;greedy;1934;1934,00;1934;0,00;0;0,03;1;0,18
HurinkVdata19;parallel;MMASV2;1240;1349,57;1481;56,80;37;135,57;583;108,72
HurinkVdata20;iterative;ACSV2;1148;1290,80;1462;68,02;106;153,37;393;65,43
HurinkVdata20;parallel;MMASV2;1016;1184,27;1268;64,34;44;109,63;346;73,50
HurinkVdata20;iterative;greedy;2292;2292,00;2292;0,00;0;0,03;1;0,18
HurinkVdata20;parallel;ACSV2;1182;1327,20;1427;61,95;49;71,47;106;18,97
HurinkVdata20;parallel;RBASV2;1059;1183,37;1283;56,32;51;124,40;456;92,42
HurinkVdata21;parallel;MMASV2;1168;1267,20;1354;48,74;49;127,40;574;124,30
HurinkVdata21;parallel;RBASV2;1177;1247,47;1297;33,49;48;133,70;470;101,27
HurinkVdata21;iterative;ACSV2;1236;1359,03;1499;54,85;108;153,60;343;59,75
HurinkVdata21;iterative;greedy;1933;1933,00;1933;0,00;0;0,03;1;0,18
HurinkVdata21;parallel;ACSV2;1252;1411,10;1609;77,96;37;74,60;120;22,95
HurinkVdata22;parallel;RBASV2;1160;1294,10;1381;59,79;52;135,10;446;100,32
HurinkVdata22;iterative;greedy;2088;2088,00;2088;0,00;0;0,03;1;0,18
HurinkVdata22;parallel;ACSV2;1209;1455,10;1586;88,61;42;76,43;106;20,17
HurinkVdata22;parallel;MMASV2;1257;1331,93;1411;42,17;41;119,37;395;86,12
HurinkVdata22;iterative;ACSV2;1307;1441,27;1560;66,15;108;154,43;366;66,26
HurinkVdata23;parallel;RBASV2;1204;1322,67;1436;64,62;47;142,57;674;139,32
HurinkVdata23;parallel;ACSV2;1323;1519,33;1709;85,23;39;76,73;107;21,34
HurinkVdata23;parallel;MMASV2;1249;1352,40;1458;65,78;45;122,90;1087;187,79
HurinkVdata23;iterative;ACSV2;1304;1456,80;1599;83,05;104;141,37;425;71,31
