Instance;Approach;Solver;Makespan (min);Makespan (avg);Makespan (max);Makespan (std);CPU TIME(ms) (min);CPU TIME(ms) (avg);CPU TIME(ms) (max);CPU TIME(ms) (std)
HurinkSdata10;iterative;ACSV2;1123;1211,30;1296;52,66;106;120,80;138;10,64
HurinkSdata10;parallel;ACSV2;1168;1223,80;1263;33,76;28;39,00;57;9,93
HurinkSdata10;parallel;MMASV2;1107;1138,30;1186;25,00;50;139,50;258;75,55
HurinkSdata10;parallel;RBASV2;1068;1129,00;1183;31,31;67;127,80;230;47,51
HurinkSdata10;iterative;greedy;1425;1425,00;1425;0,00;0;0,00;0;0,00
HurinkSdata11;iterative;ACSV2;1199;1286,00;1369;50,40;85;117,70;143;20,35
HurinkSdata11;parallel;RBASV2;1139;1200,00;1282;47,21;31;149,50;394;128,69
HurinkSdata11;parallel;ACSV2;1265;1336,10;1432;59,87;28;34,50;60;9,49
HurinkSdata11;iterative;greedy;1793;1793,00;1793;0,00;0;0,00;0;0,00
HurinkSdata11;parallel;MMASV2;1117;1184,40;1270;50,28;30;165,80;561;188,85
HurinkSdata12;iterative;ACSV2;1252;1334,60;1389;39,82;84;122,70;144;18,68
HurinkSdata12;parallel;ACSV2;1238;1312,10;1379;40,63;30;36,00;59;8,87
HurinkSdata12;parallel;RBASV2;1095;1196,40;1302;59,37;36;146,40;339;114,73
HurinkSdata12;iterative;greedy;1759;1759,00;1759;0,00;0;0,00;0;0,00
HurinkSdata12;parallel;MMASV2;1143;1201,30;1264;36,00;59;113,80;242;58,03
HurinkSdata13;parallel;ACSV2;1298;1402,30;1546;82,19;27;38,10;58;10,05
HurinkSdata13;iterative;greedy;1985;1985,00;1985;0,00;0;0,00;0;0,00
HurinkSdata13;parallel;MMASV2;1166;1260,90;1324;56,29;107;168,90;227;45,68
HurinkSdata13;parallel;RBASV2;1200;1250,90;1304;37,63;45;183,20;284;66,74
HurinkSdata13;iterative;ACSV2;1230;1384,30;1481;92,38;81;111,10;134;14,22
HurinkSdata14;parallel;MMASV2;1443;1559,40;1605;47,63;86;183,30;346;92,29
HurinkSdata14;iterative;ACSV2;1605;1724,90;1885;83,17;69;152,00;201;50,52
HurinkSdata14;iterative;greedy;2704;2704,00;2704;0,00;0;0,00;0;0,00
HurinkSdata14;parallel;RBASV2;1476;1554,50;1624;43,12;67;229,90;555;188,52
HurinkSdata14;parallel;ACSV2;1550;1725,50;1891;90,27;46;59,70;75;12,18
HurinkSdata15;iterative;ACSV2;1414;1526,10;1651;71,67;69;152,40;281;66,53
HurinkSdata15;parallel;RBASV2;1294;1373,50;1432;46,62;117;187,70;335;74,62
HurinkSdata15;parallel;ACSV2;1405;1512,70;1624;86,67;45;57,50;70;8,20
HurinkSdata15;iterative;greedy;2059;2059,00;2059;0,00;0;0,00;0;0,00
HurinkSdata15;parallel;MMASV2;1273;1349,90;1447;56,90;107;202,20;400;85,48
HurinkSdata16;parallel;MMASV2;1446;1523,60;1603;57,63;132;196,40;321;70,13
HurinkSdata16;parallel;RBASV2;1435;1507,00;1587;42,22;63;198,40;728;190,03
HurinkSdata16;iterative;ACSV2;1536;1658,10;1790;82,91;63;152,40;201;56,10
HurinkSdata16;parallel;ACSV2;1489;1646,10;1803;95,28;46;55,30;72;8,33
HurinkSdata16;iterative;greedy;2368;2368,00;2368;0,00;0;0,00;0;0,00
HurinkSdata17;parallel;RBASV2;1493;1571,00;1603;34,35;88;189,80;281;61,78
HurinkSdata17;iterative;ACSV2;1618;1761,30;1929;86,72;60;153,10;217;62,52
HurinkSdata17;iterative;greedy;2126;2126,00;2126;0,00;0;0,10;1;0,32
HurinkSdata17;parallel;ACSV2;1595;1714,50;1824;73,05;44;58,70;72;11,83
HurinkSdata17;parallel;MMASV2;1532;1582,70;1649;35,72;54;196,60;539;166,87
HurinkSdata18;iterative;ACSV2;1641;1780,00;1912;81,60;61;152,80;247;58,53
HurinkSdata18;parallel;MMASV2;1570;1629,30;1693;47,00;66;204,20;598;155,33
HurinkSdata18;iterative;greedy;2291;2291,00;2291;0,00;0;0,00;0;0,00
HurinkSdata18;parallel;RBASV2;1530;1638,60;1706;61,38;77;206,70;379;113,10
HurinkSdata18;parallel;ACSV2;1729;1834,70;1909;66,83;44;64,30;91;16,20
HurinkSdata19;parallel;MMASV2;1277;1395,50;1464;64,13;45;103,70;209;55,55
HurinkSdata19;iterative;greedy;2801;2801,00;2801;0,00;0;0,00;0;0,00
HurinkSdata19;parallel;ACSV2;1441;1543,80;1637;66,90;30;42,90;70;13,40
HurinkSdata19;iterative;ACSV2;1444;1518,90;1575;45,23;103;125,90;149;14,30
HurinkSdata19;parallel;RBASV2;1269;1369,40;1457;52,89;46;129,20;250;87,74
HurinkSdata20;parallel;RBASV2;1158;1208,60;1294;42,83;51;133,40;284;71,45
HurinkSdata20;parallel;ACSV2;1246;1396,00;1539;101,56;31;41,40;63;10,95
HurinkSdata20;iterative;greedy;1965;1965,00;1965;0,00;0;0,00;0;0,00
HurinkSdata20;parallel;MMASV2;1118;1226,50;1309;47,18;37;78,30;288;75,67
HurinkSdata20;iterative;ACSV2;1218;1297,20;1386;55,70;105;131,50;170;17,32
HurinkSdata21;iterative;ACSV2;1384;1447,10;1550;49,38;94;122,50;168;20,44
HurinkSdata21;parallel;RBASV2;1217;1289,20;1362;53,64;58;105,90;268;70,39
HurinkSdata21;iterative;greedy;2310;2310,00;2310;0,00;0;0,00;0;0,00
