Instance;Approach;Solver;Makespan (min);Makespan (avg);Makespan (max);Makespan (std);CPU TIME(ms) (min);CPU TIME(ms) (avg);CPU TIME(ms) (max);CPU TIME(ms) (std)
Fattahi1;iterative;ACSV2;66;66,00;66;0,00;19;25,70;49;8,76
Fattahi1;iterative;greedy;135;135,00;135;0,00;0;0,00;0;0,00
Fattahi1;parallel;RBASV2;66;72,00;86;9,66;6;10,70;41;10,78
Fattahi1;parallel;MMASV2;66;66,00;66;0,00;4;11,30;45;12,05
Fattahi1;parallel;ACSV2;66;66,00;66;0,00;9;13,90;47;11,65
Fattahi10;iterative;greedy;608;608,00;608;0,00;0;0,00;0;0,00
Fattahi10;parallel;RBASV2;516;542,50;605;23,74;26;48,60;108;24,33
Fattahi10;iterative;ACSV2;533;540,20;578;14,97;82;178,00;327;83,75
Fattahi10;parallel;ACSV2;533;542,30;582;16,68;39;70,10;111;24,35
Fattahi10;parallel;MMASV2;533;590,90;641;34,29;23;40,50;70;18,73
Fattahi11;iterative;greedy;783;783,00;783;0,00;0;0,00;0;0,00
Fattahi11;parallel;RBASV2;505;534,10;588;25,05;77;138,60;260;54,51
Fattahi11;parallel;MMASV2;502;559,10;603;36,84;73;164,30;230;58,57
Fattahi11;iterative;ACSV2;500;532,40;560;17,62;125;323,10;812;203,41
Fattahi11;parallel;ACSV2;524;554,60;576;19,03;149;221,20;449;89,02
Fattahi12;parallel;RBASV2;518;553,50;592;23,13;105;166,30;224;37,10
Fattahi12;parallel;MMASV2;524;564,90;616;27,93;107;150,70;211;36,81
Fattahi12;iterative;greedy;630;630,00;630;0,00;0;0,00;0;0,00
Fattahi12;iterative;ACSV2;477;518,50;541;20,58;163;341,50;655;206,09
Fattahi12;parallel;ACSV2;510;527,50;553;14,79;191;253,20;402;66,22
Fattahi13;iterative;ACSV2;567;622,20;668;31,41;337;585,30;1265;273,54
Fattahi13;parallel;MMASV2;577;651,60;738;51,10;201;321,40;564;135,57
Fattahi13;parallel;RBASV2;548;575,10;624;24,93;134;396,30;755;188,83
Fattahi13;iterative;greedy;891;891,00;891;0,00;0;0,00;0;0,00
Fattahi13;parallel;ACSV2;545;616,70;668;36,26;226;423,90;1021;263,45
Fattahi14;parallel;MMASV2;684;785,50;874;53,25;182;385,70;750;170,19
Fattahi14;parallel;RBASV2;655;718,60;807;45,31;220;529,90;1035;252,80
Fattahi14;iterative;ACSV2;684;730,20;769;27,62;473;967,00;1642;352,90
Fattahi14;parallel;ACSV2;687;752,40;853;44,01;283;547,10;1184;327,16
Fattahi14;iterative;greedy;889;889,00;889;0,00;0;0,00;0;0,00
Fattahi15;parallel;MMASV2;709;772,80;812;29,72;177;496,30;1064;301,06
Fattahi15;iterative;greedy;875;875,00;875;0,00;0;0,00;0;0,00
Fattahi15;parallel;RBASV2;632;687,90;753;40,29;221;494,10;1556;406,33
Fattahi15;iterative;ACSV2;632;686,20;752;44,48;684;1152,80;2207;425,21
Fattahi15;parallel;ACSV2;579;700,80;752;59,17;363;639,40;1512;338,87
Fattahi16;iterative;ACSV2;822;937,90;1027;67,33;720;1343,40;2410;461,60
Fattahi16;parallel;ACSV2;833;930,60;1032;63,80;336;825,30;1463;393,55
Fattahi16;parallel;RBASV2;817;880,30;970;43,79;261;801,10;1917;434,70
Fattahi16;parallel;MMASV2;868;920,00;972;36,17;470;612,00;876;127,25
Fattahi16;iterative;greedy;1294;1294,00;1294;0,00;0;0,00;0;0,00
Fattahi17;parallel;MMASV2;1284;1405,10;1516;70,05;636;1161,40;2128;488,84
Fattahi17;parallel;RBASV2;1182;1277,00;1386;70,22;693;1355,20;1945;423,58
Fattahi17;iterative;ACSV2;1208;1360,60;1507;72,53;1959;3080,60;4045;672,13
Fattahi17;iterative;greedy;1746;1746,00;1746;0,00;0;0,00;0;0,00
Fattahi17;parallel;ACSV2;1300;1352,50;1405;40,47;714;1242,50;2793;709,17
Fattahi18;iterative;ACSV2;1297;1375,80;1457;57,21;2415;3344,80;7911;1651,17
Fattahi18;iterative;greedy;1953;1953,00;1953;0,00;0;0,00;0;0,00
Fattahi18;parallel;RBASV2;1221;1324,30;1397;55,32;835;1909,90;3416;777,11
Fattahi18;parallel;MMASV2;1260;1377,60;1451;65,36;790;1655,00;2689;560,04
Fattahi18;parallel;ACSV2;1336;1390,60;1472;48,20;931;1506,10;2810;539,20
Fattahi19;parallel;RBASV2;1534;1613,10;1796;90,00;2148;5064,00;7666;2057,67
Fattahi19;iterative;greedy;1990;1990,00;1990;0,00;0;0,00;0;0,00
Fattahi19;parallel;ACSV2;1665;1819,70;1959;89,35;1804;2995,00;6194;1320,25
Fattahi19;parallel;MMASV2;1585;1746,40;1856;81,90;1958;3226,50;4953;1044,61
Fattahi19;iterative;ACSV2;1630;1781,60;1936;85,63;4297;6833,00;13289;2654,95
Fattahi2;parallel;MMASV2;107;107,00;107;0,00;3;7,90;37;10,27
Fattahi2;iterative;ACSV2;107;107,00;107;0,00;11;14,30;37;8,04
Fattahi2;parallel;RBASV2;107;107,00;107;0,00;4;8,70;42;11,74
Fattahi2;parallel;ACSV2;107;107,00;107;0,00;5;10,10;42;11,24
Fattahi2;iterative;greedy;135;135,00;135;0,00;0;0,00;0;0,00
Fattahi20;iterative;greedy;1990;1990,00;1990;0,00;0;0,00;0;0,00
Fattahi20;parallel;MMASV2;1783;1925,00;2121;100,12;3819;7229,90;10660;2890,58
Fattahi20;parallel;RBASV2;1779;1910,10;2022;67,11;3089;6285,80;8949;2058,09
Fattahi20;parallel;ACSV2;1703;2012,20;2119;115,64;2291;3940,90;8813;1951,14
