Instance;Approach;Solver;Makespan (min);Makespan (avg);Makespan (max);Makespan (std);CPU TIME(ms) (min);CPU TIME(ms) (avg);CPU TIME(ms) (max);CPU TIME(ms) (std)
2RibeiroSuzarte2;iterative;ACSV2;56387195;56387195,00;56387195;0,00;4501;5514,60;5942;273,26
2RibeiroSuzarte2;iterative;RBASV2;56387195;56387195,00;56387195;0,00;82417;84016,77;84800;452,57
2RibeiroSuzarte2;parallel;MMASV2;56387195;56387195,00;56387195;0,00;18831;18986,03;19665;209,54
2RibeiroSuzarte2;parallel;ACSV2;56387195;56387195,00;56387195;0,00;1303;1391,60;1886;105,93
2RibeiroSuzarte2;iterative;ASV2;56387195;56387195,00;56387195;0,00;91370;93459,07;94619;716,41
2RibeiroSuzarte2;parallel;RBASV2;56387195;56387195,00;56387195;0,00;19675;19767,03;20465;139,80
2RibeiroSuzarte2;parallel;ASV2;56387195;56387195,00;56387195;0,00;26857;26977,60;27701;145,75
2RibeiroSuzarte2;iterative;MMASV2;56387195;56387195,00;56387195;0,00;77126;79414,13;79985;586,75
2RibeiroSuzarte2;iterative;greedy;58876320;58876320,00;58876320;0,00;15;22,43;52;11,47
2RibeiroSuzarte2;parallel;EASV2;56387195;56387195,00;56387195;0,00;26874;26997,73;27660;135,42
2RibeiroSuzarte2;iterative;EASV2;56387195;56387195,00;56387195;0,00;90944;93507,10;95578;900,01
